ds,yhat,yhat_lower,yhat_upper
2019-01-01,1.0248638859701509e-05,4.802161814505542e-06,2.179924892725981e-05
2019-01-02,0.00010659075558816081,6.12126581580735e-05,0.00018759546161971422
2019-01-03,6.403143181299198e-05,3.6433158614835955e-05,0.00011388688912639419
2019-01-04,5.874616448426678e-05,3.3382581514679434e-05,9.965879320196501e-05
2019-01-05,4.598303012025365e-05,2.5334544955081168e-05,8.13423987787476e-05
2019-01-06,5.77959980513849e-05,3.2538779244787646e-05,0.00010032983509824138
2019-01-07,8.05846790202821e-05,4.746993436690769e-05,0.00013807718372607023
2019-01-08,9.759549128159095e-05,5.898807231616727e-05,0.00017154383144137833
2019-01-09,8.427864953480376e-05,4.8250319818739045e-05,0.0001535450889067
2019-01-10,4.8276753742864066e-05,2.744991363474048e-05,8.482882786421167e-05
2019-01-11,6.77617343763305e-05,3.871548945657399e-05,0.0001237672833148685
2019-01-12,4.644524720418582e-05,2.6701353202960447e-05,8.158909532611462e-05
2019-01-13,4.901173901252242e-05,2.814843253929398e-05,8.815882405674968e-05
2019-01-14,6.873950394073458e-05,3.8242241622404136e-05,0.00011828772157523582
2019-01-15,7.078121015554017e-05,4.0260016131065095e-05,0.0001235927559196082
2019-01-16,0.00026106079811287193,0.00014514190882272386,0.0004452786063104448
2019-01-17,4.828122646688018e-05,2.7533726706003122e-05,8.328675801371251e-05
2019-01-18,5.590703788233902e-05,3.274138462912788e-05,9.61144647141963e-05
2019-01-19,6.0540285487588234e-05,3.4678814003169166e-05,0.0001007122228995481
2019-01-20,3.517467386452752e-05,2.0545041860497403e-05,6.259603791896318e-05
2019-01-21,6.339677862001394e-05,3.576615042648362e-05,0.00011161583098587253
2019-01-22,5.64307536649268e-05,3.3067557119912466e-05,0.00010098024620222286
2019-01-23,4.749481616365389e-05,2.7250417698747913e-05,8.867339699125821e-05
2019-01-24,5.028698417960768e-05,2.750675249960038e-05,8.815070968850362e-05
2019-01-25,6.012154692247684e-05,3.386968408345487e-05,0.00010993907924751571
