ds,yhat,yhat_lower,yhat_upper
2019-01-01,1.0248638859701509e-05,4.848099273588614e-06,2.1290248942287006e-05
2019-01-02,0.00010659075558816081,5.994082483362696e-05,0.00019237480063599214
2019-01-03,6.403143181299198e-05,3.679834202365283e-05,0.00011309595361712347
2019-01-04,5.874616448426678e-05,3.266139220889095e-05,0.00010398058501826703
2019-01-05,4.598303012025365e-05,2.6207508304415436e-05,8.121137006733217e-05
2019-01-06,5.77959980513849e-05,3.371823262807806e-05,0.0001031458209725852
2019-01-07,8.05846790202821e-05,4.705476467203231e-05,0.00014093479502198987
2019-01-08,9.759549128159095e-05,5.8101214047211364e-05,0.00017384801799520412
2019-01-09,8.427864953480376e-05,4.9586694359782145e-05,0.00014789486504494716
2019-01-10,4.8276753742864066e-05,2.6308064096675128e-05,8.499710884739917e-05
2019-01-11,6.77617343763305e-05,3.81609791721008e-05,0.0001227478725790555
2019-01-12,4.644524720418582e-05,2.715063594553777e-05,8.297188484449301e-05
2019-01-13,4.901173901252242e-05,2.846113630092139e-05,8.615526975973991e-05
2019-01-14,6.873950394073458e-05,3.892356966694202e-05,0.00012292783210351912
2019-01-15,7.078121015554017e-05,4.13699350091752e-05,0.00012373263718408163
2019-01-16,0.00026106079811287193,0.0001444971532145726,0.0004817398967910099
2019-01-17,4.828122646688018e-05,2.746157993996385e-05,8.693962142141911e-05
2019-01-18,5.590703788233902e-05,3.165776745883474e-05,9.894782199578849e-05
2019-01-19,6.0540285487588234e-05,3.408432686032424e-05,0.00010600231911047899
2019-01-20,3.517467386452752e-05,2.0049070013311643e-05,6.067127669957065e-05
2019-01-21,6.339677862001394e-05,3.609396495848167e-05,0.00011526905248497602
2019-01-22,5.64307536649268e-05,3.149617141450684e-05,9.992404035279675e-05
2019-01-23,4.749481616365389e-05,2.7702612922637913e-05,8.48510348416771e-05
2019-01-24,5.028698417960768e-05,2.878083132257929e-05,8.881094679452676e-05
2019-01-25,6.012154692247684e-05,3.540557397089645e-05,0.00010672369030436914
2019-01-26,7.58078444138858e-05,4.2502826454248584e-05,0.0001396979550892274
2019-01-27,4.746450620910537e-05,2.6519586998202068e-05,8.321476459070164e-05
2019-01-28,5.331322162831331e-05,3.153883700379047e-05,9.47891279843477e-05
2019-01-29,6.121562743983104e-05,3.3920407880716724e-05,0.00010723737653793498
2019-01-30,6.514216835091812e-05,3.7920520651590935e-05,0.000118320693594454
2019-01-31,7.878724280510133e-05,4.601731214099986e-05,0.00013930487663660975
2019-02-01,0.00011388431304510745,6.462322022810509e-05,0.00019386498699468788
2019-02-02,3.811136630570987e-05,2.3015194757123876e-05,6.81468531534919e-05
2019-02-03,4.1614092545850545e-05,2.3874152588527163e-05,6.873348005761189e-05
2019-02-04,7.315443678704373e-05,4.1714398247618694e-05,0.00012661690010425157
2019-02-05,8.459183473986495e-05,5.020211943379162e-05,0.00014974428837852548
2019-02-06,5.796411023299526e-05,3.304373133021437e-05,9.863477564134422e-05
2019-02-07,7.070538580679573e-05,4.048595553178019e-05,0.00012550426460890892
2019-02-08,8.2373240020519e-05,4.730126777406016e-05,0.00014511914901007005
2019-02-09,0.00012421359575549328,6.99798915364651e-05,0.00021553205081546332
2019-02-10,6.0756921550565126e-05,3.3985535513320104e-05,0.00010753530226718732
2019-02-11,4.966774291755205e-05,2.8508405697624633e-05,8.582507247492916e-05
2019-02-12,5.146835273062145e-05,2.964475125217762e-05,8.805119551333694e-05
2019-02-13,7.991282373046856e-05,4.563677186400639e-05,0.00013766846534715233
2019-02-14,0.00018138282430926538,0.00010551987739135814,0.0003351690764810007
2019-02-15,0.0001858826858463151,0.00010766006642382969,0.00032150233534963195
2019-02-16,0.00010709607628784196,6.178896724803392e-05,0.00018767204237206064
2019-02-17,5.2374720980957015e-05,2.9841979853425917e-05,9.193019751185824e-05
2019-02-18,7.31106773497817e-05,4.117153473374826e-05,0.00012393805745054503
2019-02-19,8.422274358122054e-05,4.810111400938751e-05,0.00014522819685174393
2019-02-20,8.439168922988847e-05,4.606264865845278e-05,0.0001401018580220788
2019-02-21,9.440457936478636e-05,5.453888568361388e-05,0.00016274608038707166
2019-02-22,0.00011179096213633923,6.546617058320129e-05,0.0001928842194544462
2019-02-23,0.0001225961434742633,6.640529683825855e-05,0.00021323320437705324
2019-02-24,5.116984125277858e-05,3.025909092061963e-05,9.062470970309934e-05
2019-02-25,8.372212285747153e-05,4.87974682010583e-05,0.00014143184639955455
2019-02-26,9.297600246747082e-05,5.3519395105022545e-05,0.0001597800451521407
2019-02-27,8.714401287622334e-05,4.9386574323212704e-05,0.0001511849892245225
2019-02-28,0.00017009610836590867,9.431878886049354e-05,0.0002996527416274069
2019-03-01,7.553574022662803e-05,4.32993612221773e-05,0.00013135392475344113
2019-03-02,8.538872476441225e-05,4.968235700440825e-05,0.00014980059423880772
2019-03-03,4.452578550714226e-05,2.545260001430693e-05,7.937297391554958e-05
2019-03-04,0.00010640206968305132,5.602070897462207e-05,0.0002039479170660775
2019-03-05,7.149437337034033e-05,3.7365962877641794e-05,0.0001424340948487923
2019-03-06,0.00010071756035367446,5.844555702574938e-05,0.00018147503914376284
2019-03-07,0.00010694737708617952,6.325424319086351e-05,0.00018183146904010038
2019-03-08,5.500592410883701e-05,3.183367105867955e-05,9.469797547648799e-05
2019-03-09,5.885210691181554e-05,3.334037767690223e-05,0.00010387711745994715
2019-03-10,6.823914018575757e-05,3.86893463032951e-05,0.00012374250979356056
2019-03-11,7.294078511501127e-05,4.0909641417618134e-05,0.00012730538872858917
2019-03-12,0.0001242977455902258,7.061618989845815e-05,0.00021644534021385227
2019-03-13,7.787295380795599e-05,4.352621040669488e-05,0.00013944058071906388
2019-03-14,0.00011575380475705642,6.586755680011834e-05,0.00020866297796256252
2019-03-15,7.39603004387084e-05,4.271790711630512e-05,0.00012894493500127723
2019-03-16,5.585628469955999e-05,3.233780995899446e-05,9.392817229909096e-05
2019-03-17,4.724151884914113e-05,2.6727846580547384e-05,8.348825767042526e-05
2019-03-18,8.779324777585051e-05,4.895634614525428e-05,0.00015684828521479271
2019-03-19,6.121865759328837e-05,3.52437864248448e-05,0.00010835663343845389
2019-03-20,5.221013185542345e-05,2.8816647786685424e-05,9.11093860089781e-05
2019-03-21,0.00012440691083164822,6.834952956563502e-05,0.0002295394743709387
2019-03-22,9.497186538467666e-05,5.439710386423183e-05,0.00016753815210648047
2019-03-23,6.819009005999299e-05,3.782884864508334e-05,0.0001177600437673491
2019-03-24,5.329185472033742e-05,2.7170992598347085e-05,0.00010584980361728321
2019-03-25,5.7587054837800095e-05,3.275242685947403e-05,0.00010223873365984343
2019-03-26,7.349865300433402e-05,4.104928706854809e-05,0.00013036210893956768
2019-03-27,8.842487275972997e-05,5.25525731995818e-05,0.00015476008030054019
2019-03-28,6.81027575203457e-05,3.86521591215652e-05,0.00011657867777059978
2019-03-29,7.991081353012586e-05,4.560658590527795e-05,0.00013638799178222332
2019-03-30,0.00010449956711109553,5.8366024255299114e-05,0.00018328374272525222
2019-03-31,6.164378995128306e-05,3.523236095646985e-05,0.00011111470537955868
2019-04-01,8.719933660923855e-05,4.9624870333393616e-05,0.00014729307850297918
2019-04-02,6.415567386945034e-05,2.7063451130062883e-05,0.0001409224656835548
2019-04-03,5.349420745850424e-05,3.0273387159811117e-05,9.11792739990091e-05
2019-04-04,8.911479951272678e-05,4.8728299670678814e-05,0.00015798880024439938
2019-04-05,5.738303537469891e-05,3.3011315366064913e-05,0.00010071906355733874
2019-04-06,8.967398149476856e-05,5.2322411818592416e-05,0.00015534815209995817
2019-04-07,7.816577978726814e-05,4.563592884808412e-05,0.00013710187212586161
2019-04-08,0.00011502512818818342,6.756944692902239e-05,0.00020052030270970337
2019-04-09,9.903959811914696e-05,5.797791093050511e-05,0.00017548314367557023
2019-04-10,9.139784901207102e-05,5.0251195281499945e-05,0.00016083872731913556
2019-04-11,8.779833142630966e-05,4.996155914229951e-05,0.0001568228318806948
2019-04-12,0.00010231963199913957,5.664767553723387e-05,0.00018459570471647473
2019-04-13,6.872813907213363e-05,4.053367026801954e-05,0.0001206357789247441
2019-04-14,0.0001097781154470885,6.420915595470725e-05,0.00019115278421595423
2019-04-15,7.210595419629201e-05,4.1754839778782e-05,0.00012625446346047154
2019-04-16,0.0001070732765591078,6.534034403069786e-05,0.00019503537034515638
2019-04-17,7.727301292410446e-05,4.325018142527737e-05,0.0001329200241260851
2019-04-18,9.506618627096343e-05,4.929280849839025e-05,0.00018900490840537823
2019-04-19,6.164869549478639e-05,3.118513046051549e-05,0.00011484154625506688
2019-04-20,5.943975675736625e-05,3.452036965695546e-05,0.00010934463123032726
2019-04-21,7.661889132497707e-05,3.735368716259553e-05,0.00015221534908025315
2019-04-22,0.0001131898039434184,6.468096217109026e-05,0.00020119290647958009
2019-04-23,9.565220754893611e-05,5.380637950913218e-05,0.00016974909089750823
2019-04-24,7.76733954393659e-05,4.403869355031758e-05,0.00013594821086567035
2019-04-25,5.418852143163422e-05,3.101250858811479e-05,9.624563722306083e-05
2019-04-26,6.384650864990481e-05,3.627567658543193e-05,0.00011078817995403343
2019-04-27,6.98810432095995e-05,4.0356184124144084e-05,0.00012334723790772108
2019-04-28,6.43868462316138e-05,3.74556698632031e-05,0.00011183813882369753
2019-04-29,9.960981954298712e-05,5.693614218970912e-05,0.00017345790148463953
2019-04-30,8.061776638443092e-05,4.789113058592429e-05,0.00014480534760208936
2019-05-01,3.850106349991503e-05,2.059673603952606e-05,7.363269627168692e-05
2019-05-02,6.7448364706772e-05,3.883254809488467e-05,0.00012080744938123154
2019-05-03,0.0001317795327357316,7.464259270271688e-05,0.00023351138512798416
2019-05-04,4.9458125352967576e-05,2.7484613081132417e-05,8.684923175286376e-05
2019-05-05,3.766316091916946e-05,2.1045387512945532e-05,6.734636113184596e-05
2019-05-06,7.720663381033912e-05,4.349526601641229e-05,0.00013164603917972006
2019-05-07,7.401127506665238e-05,4.233144664716615e-05,0.00012654023104505905
2019-05-08,7.543357082141667e-05,4.1363556494030867e-05,0.00013024847458481778
2019-05-09,8.858940787534e-05,4.914464486070156e-05,0.0001571154852425713
2019-05-10,5.975002150754105e-05,3.288973665191797e-05,0.00010391786498909613
2019-05-11,7.586162465375889e-05,4.343019277131053e-05,0.00012949244049513019
2019-05-12,6.777205976710117e-05,4.001824994761937e-05,0.0001154321461795621
2019-05-13,0.00012452979340509427,7.035212834618177e-05,0.00021490670449557443
2019-05-14,9.670727253546679e-05,5.690377793748507e-05,0.00016327949327558873
2019-05-15,9.267957563848284e-05,5.1161183798901067e-05,0.0001659016070295682
2019-05-16,0.00011984253287692513,6.890280036619632e-05,0.00022341191111194231
2019-05-17,7.081504350958015e-05,4.0316134943054145e-05,0.00012317516155423795
2019-05-18,8.742123394975904e-05,5.0438433164028525e-05,0.00015799310432385694
2019-05-19,5.825388926434503e-05,3.2719596824693144e-05,0.00010203183122568373
2019-05-20,6.14450930811114e-05,3.5654004360616944e-05,0.00010623893412040892
2019-05-21,8.533825648225013e-05,4.801160148421603e-05,0.00014104768572136206
2019-05-22,0.00010396830277338046,5.878885432680374e-05,0.00018505602906344985
2019-05-23,0.00023985408849934304,0.00013979884311105632,0.00042225586295181067
2019-05-24,0.00016519266816249299,9.246900275082413e-05,0.00028459713531205034
2019-05-25,4.725186918173783e-05,2.1633152168248692e-05,0.00010146523213308655
2019-05-26,7.099036102976966e-05,4.16688067796504e-05,0.00012416292851798468
2019-05-27,0.0002110331643298572,0.00011973145998378309,0.0003689270835094983
2019-05-28,0.00021203556834720387,0.00012249779608219594,0.0003792050349228991
2019-05-29,0.00013350540344236978,7.81048335138298e-05,0.0002403858206966273
2019-05-30,0.00010655794822020895,5.890517906927741e-05,0.00017697535160505527
2019-05-31,0.00016932277596182606,9.618520028097555e-05,0.00030869343834717526
2019-06-01,0.00011556653393257888,6.639710948370706e-05,0.00020999992772380725
2019-06-02,0.00013689439248693865,7.951606640394379e-05,0.0002445217153740408
2019-06-03,0.00018682485098210958,0.00011018084467819412,0.00031312784131684883
2019-06-04,7.960804189821213e-05,4.5697597998375705e-05,0.00014204573521494607
2019-06-05,6.701670945005005e-05,3.951706479264845e-05,0.00012002249493412263
2019-06-06,0.00010997419528744289,6.442453498331842e-05,0.0001928963979489026
2019-06-07,0.00010026987304222351,5.7106605326108694e-05,0.00017324406095314346
2019-06-08,0.00011643993325199294,6.950263199065324e-05,0.0001989798403384472
2019-06-09,7.847669303065595e-05,4.4637659657370726e-05,0.00013924814800357846
2019-06-10,0.00016408919548990375,9.273265121718091e-05,0.000289640199834893
2019-06-11,8.732277277692119e-05,4.9328694198984375e-05,0.00015212136951396976
2019-06-12,0.0001266393511398332,7.529399664587077e-05,0.00022007234996618825
2019-06-13,0.00010732576547764265,6.167438853692753e-05,0.00018493714819745147
2019-06-14,0.00010874816680005938,5.8985358395158086e-05,0.0001924172169031615
2019-06-15,4.975022397591927e-05,2.7366397970199667e-05,8.56129615657583e-05
2019-06-16,4.4398733152825305e-05,2.5172003806453022e-05,7.520183962659475e-05
2019-06-17,9.391172456513517e-05,4.307983491330995e-05,0.00019182419548621464
2019-06-18,8.312078499977343e-05,4.778614340561965e-05,0.0001426098694505108
2019-06-19,8.259255795632518e-05,4.695433218141092e-05,0.00014939796461698642
2019-06-20,0.00012168341617344222,6.30155787745083e-05,0.00023500584752871273
2019-06-21,0.0001219673309181555,6.871499821296975e-05,0.00021288866227725541
2019-06-22,0.00017048911976298123,9.877271403652768e-05,0.00030564999130456606
2019-06-23,0.000121370017782953,7.078614564559241e-05,0.00021715314466970264
2019-06-24,0.00011786055612966622,6.875586893812764e-05,0.00020663358574630783
2019-06-25,7.028223624826993e-05,3.958230629892397e-05,0.0001211405422470238
2019-06-26,0.00011612197697520266,6.480804085649414e-05,0.00020306860313983478
2019-06-27,0.00010459576356609312,5.8620075042908165e-05,0.00018052665208993993
2019-06-28,0.0002263190106115605,0.00012631725349137503,0.00041753276263996965
2019-06-29,0.0001321795409466629,7.659497704175504e-05,0.0002443149886599957
2019-06-30,6.557413058268925e-05,3.8087163695624015e-05,0.00011552465095153368
2019-07-01,0.0001194685387961971,6.914056947960875e-05,0.00020808558765347205
2019-07-02,0.00011865530746306154,6.902383583184351e-05,0.0002161462074918013
2019-07-03,0.00011564578445987861,6.584926686562774e-05,0.00020766243503108408
2019-07-04,0.00010043256747949887,5.6521754992390766e-05,0.00017535901803826724
2019-07-05,0.00012082012994281042,6.701282125993758e-05,0.0002033035793461271
2019-07-06,0.00022510281975708676,0.00012511061622240457,0.00039536224787227003
2019-07-07,0.00010896427920322717,6.168102520026953e-05,0.00019093172424277272
2019-07-08,0.00016104783421885878,9.276586123212045e-05,0.00029064258313172246
2019-07-09,0.00014420103289216292,6.997198204653997e-05,0.0002828597085125099
2019-07-10,0.000251657106352887,0.00014217794822611642,0.0004304765437860891
2019-07-11,0.00014924283482894925,8.141961538910624e-05,0.00026297916613365684
2019-07-12,0.00014946300407516484,8.446192763103796e-05,0.00026200760820035827
