,ds,y,prediccion_train,prediccion_train_max,prediccion_train_min,prediccion_test,prediccion_test_max,prediccion_test_min
0,2019-01-03,7.964380733354805e-05,7.504817884644434e-05,0.00013785956374511864,4.0896386309763945e-05,7.334431374582121e-05,0.00013677495958164346,3.981151098533757e-05
1,2019-01-04,0.00011068330628829996,7.565588431865447e-05,0.00013979881960820165,4.1009539814766055e-05,7.651167854459252e-05,0.00014118031841620196,4.1177205217872225e-05
2,2019-01-05,4.74002231724108e-05,5.6252467228313476e-05,0.00010327101804315238,3.0444858459493292e-05,6.449342134839722e-05,0.00011849724098887113,3.505496160251281e-05
3,2019-01-06,,4.263730871327286e-05,7.860460409514543e-05,2.3136811168826018e-05,4.042183205057886e-05,7.44731765652181e-05,2.1996304660408247e-05
4,2019-01-07,,5.9954784215408664e-05,0.00011097750421502248,3.268803441657962e-05,5.626913115839069e-05,0.00010382083543986134,3.068880673948732e-05
5,2019-01-08,3.568381173195648e-05,6.78719881201969e-05,0.0001250155436558113,3.690655315019103e-05,6.330740160210207e-05,0.00011672404423552125,3.432694696633303e-05
6,2019-01-09,,5.002965294487132e-05,9.234020695624949e-05,2.7153336701054826e-05,5.557636481870797e-05,0.00010218976792019695,3.027490861787704e-05
7,2019-01-10,,5.94923304330125e-05,0.00010992594381176701,3.223459508837722e-05,5.813059344281134e-05,0.0001067637502991279,3.1231511586751606e-05
8,2019-01-11,8.132093307191777e-05,7.714241335414844e-05,0.0001415551025637192,4.231036747721134e-05,7.31623956389964e-05,0.00013465355807223023,3.983504511115821e-05
9,2019-01-12,4.395305535914369e-05,6.263506218452279e-05,0.00011593198438317546,3.413288506579704e-05,6.253884623514476e-05,0.00011569405103300496,3.407804373627291e-05
10,2019-01-13,,3.665662798685129e-05,6.725913748208248e-05,1.9855122668620398e-05,4.112930128270666e-05,7.588181790847009e-05,2.2267681960487476e-05
11,2019-01-14,5.62955844532779e-05,5.617383561840329e-05,0.00010297296050793495,3.042049960833429e-05,5.6226807405632085e-05,0.00010287508799127229,3.055709632365397e-05
12,2019-01-15,,5.1462980732898724e-05,9.43520728137527e-05,2.7974373827365385e-05,5.165951950751413e-05,9.455676786040131e-05,2.7997677146413313e-05
13,2019-01-16,0.0001659669622785,6.569211876025327e-05,0.0001197378423374449,3.562627310080611e-05,6.576842027394246e-05,0.00012024794303652784,3.590304446746821e-05
14,2019-01-17,,7.121884831408756e-05,0.00012990377946156287,3.7930535792820184e-05,7.297163795314474e-05,0.00013358617297732172,3.962203983430008e-05
15,2019-01-18,1.1996398696296875e-05,6.097767668481051e-05,0.00011277489068690001,3.3058388712098006e-05,6.185142126644207e-05,0.00011239677726374088,3.338252695962875e-05
16,2019-01-19,4.924458875451373e-05,5.72686804287611e-05,0.00010594028309589809,3.135123824601188e-05,6.180528242022056e-05,0.00011459152241448036,3.3951656540678927e-05
17,2019-01-20,3.3706324762224375e-05,4.7029539226691625e-05,8.658889996626826e-05,2.549983987836857e-05,5.015969645102282e-05,9.180056366265984e-05,2.7215574819037027e-05
18,2019-01-21,7.226521901204072e-05,6.953444776712676e-05,0.00012606454674608708,3.763444964355718e-05,7.047518176012647e-05,0.00013013615000143593,3.9030901446791274e-05
19,2019-01-22,6.997869425344697e-05,6.271144140040471e-05,0.00011540332448252029,3.3978745989632235e-05,6.370742732487948e-05,0.00011720091505992145,3.469905742320589e-05
20,2019-01-23,5.926622091559256e-05,6.379408004413898e-05,0.00011728901737916628,3.471741064195723e-05,6.512018668574668e-05,0.00011896672091207845,3.577275043621833e-05
21,2019-01-24,4.78299149612398e-05,6.706846205044432e-05,0.00012342969772582665,3.67167748825844e-05,6.915137696662963e-05,0.00012713491604836842,3.769571677923538e-05
22,2019-01-25,,5.8770896084961585e-05,0.0001081159692239501,3.1672217267639336e-05,6.075505575078381e-05,0.00011143921102530053,3.3025603655210396e-05
23,2019-01-26,,5.497280693066095e-05,9.967138595476461e-05,2.9958830847708284e-05,5.932951755297833e-05,0.00010874104283469657,3.237854456106868e-05
24,2019-01-27,6.690963995127863e-05,4.49749911670278e-05,8.239966539475264e-05,2.4414242436687655e-05,4.841100758369722e-05,8.887100674628308e-05,2.6406954566599675e-05
