ds,y,yhat
2019-01-01,1.0334739640717669e-05,1.0334739660566362e-05
2019-01-02,,0.00012846989511422306
2019-01-03,7.964380733354886e-05,6.575839729763742e-05
2019-01-04,0.00011068330628836018,5.910961385918912e-05
2019-01-05,4.7400223172410416e-05,5.241810052948108e-05
2019-01-06,,8.676029197287351e-05
2019-01-07,,0.00010075985275394576
2019-01-08,3.568381173195612e-05,0.00012192727525931508
2019-01-09,,0.00010122340345170952
2019-01-10,,5.0857030628367794e-05
2019-01-11,8.132093307191743e-05,7.218539015349851e-05
2019-01-12,4.395305535914343e-05,5.660447151432776e-05
2019-01-13,,7.281720921633897e-05
2019-01-14,5.6295584453278474e-05,8.580367946381698e-05
2019-01-15,,8.602431452236954e-05
2019-01-16,0.0001659669622785448,0.00034163352721791477
2019-01-17,,5.103927004787522e-05
2019-01-18,1.1996398696296826e-05,5.7732572480580365e-05
2019-01-19,4.924458875451413e-05,7.145168993707477e-05
2019-01-20,3.370632476222423e-05,5.090196429660636e-05
2019-01-21,7.226521901204132e-05,7.731220059905506e-05
2019-01-22,6.99786942534461e-05,6.544327596230484e-05
2019-01-23,5.926622091559256e-05,5.3649103078486685e-05
2019-01-24,4.782991496124029e-05,4.9234453038678095e-05
2019-01-25,,5.819373567623831e-05
2019-01-26,,8.370056274713856e-05
2019-01-27,6.69096399512789e-05,6.434647567871088e-05
2019-01-28,3.69406932761079e-05,5.9121025024041255e-05
2019-01-29,4.023937569925481e-05,6.596751349447459e-05
2019-01-30,8.134558085476068e-05,6.944759100313365e-05
2019-01-31,9.527775154303478e-05,7.457063308573803e-05
2019-02-01,,0.00011092639924858195
2019-02-02,4.869233333507699e-05,4.054574181159051e-05
2019-02-03,5.160275062258964e-05,5.4991027210513535e-05
2019-02-04,0.0001187140403508515,7.889747520251444e-05
2019-02-05,6.751901643030316e-05,9.573638743523971e-05
2019-02-06,5.709433994113431e-05,6.090299501534751e-05
2019-02-07,7.933779415043828e-05,6.776864867428794e-05
2019-02-08,0.00010329959619102294,7.667965575165605e-05
2019-02-09,8.088638310679384e-05,0.00013547055335757464
2019-02-10,5.574805212600126e-05,7.951262670176772e-05
2019-02-11,5.232628442859806e-05,5.050288810999975e-05
2019-02-12,6.162167639911406e-05,5.1136420529805267e-05
2019-02-13,7.021319820737971e-05,8.199509397952581e-05
2019-02-14,,0.00017460974886229427
2019-02-15,0.00020404617432321438,0.000171865730240933
2019-02-16,6.772507777073007e-05,0.00010847816833609169
2019-02-17,4.812453080588042e-05,6.204564768712902e-05
2019-02-18,7.862917398604975e-05,7.160416647053517e-05
2019-02-19,9.472376219659442e-05,7.909229140723658e-05
2019-02-20,6.914288480350672e-05,7.812444637376526e-05
2019-02-21,0.0001487110502067387,7.574342169516195e-05
2019-02-22,0.00026319298902127496,8.811237602741991e-05
2019-02-23,,0.00010977338209107279
2019-02-24,2.7085761757916923e-05,5.44025349578544e-05
2019-02-25,,7.737516228388641e-05
2019-02-26,6.942856239702683e-05,8.524308744000632e-05
2019-02-27,8.796758315958367e-05,8.152435548850907e-05
