ds,y,yhat
2019-01-01,1.2881883619742194e-05,1.938348147196009e-05
2019-01-02,,5.257599383803349e-05
2019-01-03,4.212561210417436e-05,3.6714255548218126e-05
2019-01-04,4.957500644580365e-05,3.33168281782539e-05
2019-01-05,3.6065519180667385e-05,3.1494778142234086e-05
2019-01-06,1.7748353486509568e-05,3.588355516125971e-05
2019-01-07,,4.4567408109402353e-05
2019-01-08,2.6262038179866942e-05,6.263902984232866e-05
2019-01-09,3.8719589086704045e-05,4.43905473235887e-05
2019-01-10,,2.436900455491861e-05
2019-01-11,5.0261787451117576e-05,3.852573916642141e-05
2019-01-12,3.0260527269646098e-05,3.2752185784776344e-05
2019-01-13,,3.277221193527626e-05
2019-01-14,2.6882171090265424e-05,3.995523583538415e-05
2019-01-15,,3.9330551987722564e-05
2019-01-16,7.123391445118298e-05,0.00014000736083434132
2019-01-17,,3.09492873821568e-05
2019-01-18,1.8414504674304886e-05,2.682663879605198e-05
2019-01-19,2.950870674397424e-05,3.9686726932429574e-05
2019-01-20,2.032539158086805e-05,3.0279081354641193e-05
2019-01-21,4.581050428963602e-05,4.6079281966377734e-05
2019-01-22,4.6738784144597025e-05,3.9124718373841695e-05
2019-01-23,3.0070270115470158e-05,3.231202490796905e-05
2019-01-24,3.1802273680686944e-05,2.916663618617297e-05
2019-01-25,,2.6653271188424717e-05
2019-01-26,3.2723219923656046e-05,4.365463605822993e-05
2019-01-27,3.4312443974391355e-05,3.5462678511891766e-05
2019-01-28,3.6073119090009676e-05,3.611681092273199e-05
2019-01-29,2.6377089078524025e-05,3.11587537808963e-05
2019-01-30,4.218503710585865e-05,3.1332848652386095e-05
2019-01-31,4.4754441197741886e-05,3.983330619426826e-05
2019-02-01,3.869462079799086e-05,5.518602034226613e-05
2019-02-02,2.724060091619537e-05,2.4785009504577722e-05
2019-02-03,2.710250815109508e-05,3.0330373470506002e-05
2019-02-04,5.3719287157051615e-05,4.751585300792878e-05
2019-02-05,3.930343307119163e-05,5.324471476033809e-05
2019-02-06,4.221690305881319e-05,3.708796902449558e-05
2019-02-07,4.3831687747672446e-05,3.814145696170717e-05
2019-02-08,4.025341425168346e-05,4.089839427385346e-05
2019-02-09,4.685243954834776e-05,6.23242949777386e-05
2019-02-10,4.1072224251346234e-05,3.972571834713486e-05
2019-02-11,2.7022757513705978e-05,2.5750640873956455e-05
2019-02-12,2.984373492528748e-05,3.102352898647606e-05
2019-02-13,4.4664404970754784e-05,3.7049655356854895e-05
2019-02-14,,6.740162671429132e-05
2019-02-15,9.357030810425125e-05,7.893898181851552e-05
2019-02-16,3.5203325557282306e-05,5.481136168880037e-05
2019-02-17,3.357652205553459e-05,3.448346083994721e-05
2019-02-18,3.474712128701972e-05,4.2459605953898205e-05
2019-02-19,4.336114196016503e-05,4.45347797158249e-05
2019-02-20,4.652380605295935e-05,4.310453591501535e-05
2019-02-21,7.609266223669447e-05,4.0753387664519356e-05
2019-02-22,0.00012351269245772792,3.6054008540448165e-05
2019-02-23,,4.3157248719680567e-05
2019-02-24,9.006703176584592e-06,3.0316036379604847e-05
2019-02-25,2.026859567550238e-06,4.497812710009972e-05
2019-02-26,4.702429321986207e-05,4.819944830310612e-05
2019-02-27,4.277562260131986e-05,3.741624559713724e-05
2019-02-28,0.00011618468981512501,5.8498608128954225e-05
2019-03-01,3.848518141707504e-05,3.5306371078355364e-05
2019-03-02,4.014310057459953e-05,3.5308177956550064e-05
2019-03-03,2.357568834875082e-05,2.863159888890814e-05
2019-03-04,2.5785498555069462e-05,4.776148676092609e-05
2019-03-05,2.8262844100730087e-05,4.0853078351431954e-05
2019-03-06,5.059072357508253e-05,5.361053570522309e-05
2019-03-07,4.659743934230032e-05,4.065963995238635e-05
2019-03-08,3.1487234960927313e-05,2.2009570536118843e-05
2019-03-09,2.689016736612798e-05,3.2143014342191484e-05
2019-03-10,3.500873706979919e-05,4.633939581231013e-05
2019-03-11,2.1179222729177595e-05,4.8542313192864333e-05
2019-03-12,1.86455345101424e-05,5.8175018487695225e-05
2019-03-13,2.3137680898208976e-05,4.781144991336261e-05
2019-03-14,5.657182055621506e-05,6.032109686350893e-05
2019-03-15,1.2159958661266193e-05,3.293342374747991e-05
2019-03-16,2.1815810014960638e-05,2.903652628157298e-05
2019-03-17,3.994345918025214e-05,2.9651337316788936e-05
2019-03-18,4.455611606973775e-05,5.8555269727023036e-05
2019-03-19,1.430216704057088e-05,3.394647528157555e-05
2019-03-20,3.37828448636853e-05,3.625362988561859e-05
2019-03-21,0.0001443964777539354,7.135210926091675e-05
2019-03-22,7.913999077975108e-05,5.5906648326526785e-05
2019-03-23,3.904676024175902e-05,4.725234549466695e-05
2019-03-24,3.3471739357589684e-05,3.488350591145808e-05
2019-03-25,5.124365522609075e-05,4.4254156920955505e-05
2019-03-26,2.2182012632769666e-05,5.212979316735111e-05
2019-03-27,2.8739872532172033e-05,6.174940470880413e-05
2019-03-28,4.3285795206930574e-05,4.3290635866551355e-05
2019-03-29,4.382362477260998e-05,3.7996505179286966e-05
2019-03-30,5.3249768169857955e-05,6.227615564599609e-05
2019-03-31,3.760177737946962e-05,4.586052083796217e-05
2019-04-01,8.145469693650388e-05,5.884298499382375e-05
2019-04-02,,6.69346719159146e-05
2019-04-03,7.083185539989172e-05,3.6242270618021694e-05
2019-04-04,,3.876470808716648e-05
2019-04-05,5.309677903781994e-05,3.30890671216063e-05
2019-04-06,9.373886148617661e-05,5.259434765843726e-05
2019-04-07,5.7913728879314746e-05,5.701275654767357e-05
2019-04-08,0.00016645178454433555,7.40009738442271e-05
2019-04-09,3.8222925313566974e-05,6.129852504537955e-05
2019-04-10,7.792778779034908e-05,4.4863226115346316e-05
2019-04-11,4.6006631472462726e-05,3.7549048339821243e-05
2019-04-12,0.0001124691042664242,5.0314359514312634e-05
2019-04-13,5.360387672591908e-05,4.253830464977582e-05
2019-04-14,4.326763123354964e-05,7.477646477175937e-05
2019-04-15,,4.8380368299722806e-05
2019-04-16,6.823682039350588e-05,6.334791304336059e-05
2019-04-17,5.456104412911502e-05,4.990971060529612e-05
2019-04-18,0.00010561245362265892,4.43976301281641e-05
2019-04-19,6.8035736616752e-05,4.156927397373306e-05
2019-04-20,4.020015663871669e-05,3.790433683599264e-05
2019-04-21,5.681154854702729e-05,2.3463755213839154e-05
2019-04-22,0.00010386647532798171,7.554906874971643e-05
2019-04-23,0.00012734831616212486,6.636620620767335e-05
2019-04-24,,5.553076323755132e-05
2019-04-25,2.9385158995864544e-05,3.679236861117735e-05
2019-04-26,,3.303983802895758e-05
2019-04-27,2.0161973272937994e-05,3.8916500903441444e-05
2019-04-28,4.0058940461181894e-05,5.354052923907392e-05
2019-04-29,3.0375806263389636e-05,7.395760276532952e-05
2019-04-30,,5.8710479473845866e-05
2019-05-01,4.0377124813152316e-05,3.422066976353096e-05
2019-05-02,4.258074357915097e-05,4.869536474317555e-05
2019-05-03,5.478992379828447e-05,7.979691157322963e-05
2019-05-04,4.200554616874196e-05,3.0510421152022484e-05
2019-05-05,,2.7718277168145292e-05
2019-05-06,7.308578393628504e-05,6.00067232652588e-05
2019-05-07,4.211646940952062e-05,5.5112396070610544e-05
2019-05-08,5.9466118409762657e-05,4.503921836240772e-05
2019-05-09,,4.594991667432234e-05
2019-05-10,3.5263044873589854e-05,3.035879373213062e-05
2019-05-11,6.166589566575155e-05,4.964859200342339e-05
2019-05-12,6.579327700539979e-05,5.286717960824862e-05
2019-05-13,8.991092014829503e-05,8.334365118479649e-05
2019-05-14,7.699856900614771e-05,6.196155887549796e-05
2019-05-15,5.069322177432199e-05,5.6764438062559386e-05
2019-05-16,4.390675053802299e-05,6.473011357771535e-05
