ds,y,cantidad_pasos,log_temperatura,log_intensidad_viento_km_h,pp
2019-01-01,-4.89002062875813,5.31986774963013,1.3735249804634,0.916859882317168,1
2019-01-02,,5.57844092474816,1.37398414647823,0.471057403866797,1
2019-01-03,-4.37545377557974,5.59647283664565,1.44084351333528,0.864932792350414,0
2019-01-04,-4.30473722065515,5.56588086156183,1.42596873227228,0.91777576513747,0
2019-01-05,-4.44290781154889,5.3020125603306,1.33210166696976,0.915936594344439,0
2019-01-06,-4.75084193020837,5.48510502911225,1.37817070006307,0.613468745419006,1
2019-01-07,,5.59070923105233,1.42023087962465,0.633731226270195,1
2019-01-08,-4.58067157162355,5.60991227752745,1.40190290576747,0.513265102696791,0
2019-01-09,-4.41206926030796,5.3963650101772,1.38731565769678,0.509530956053979,1
2019-01-10,,5.57212429824597,1.43748631305142,1.02919145292919,1
2019-01-11,-4.29876207073044,5.62903937351018,1.43082726689261,0.809027196078737,0
2019-01-12,-4.51912350895319,5.46156155043463,1.32247772644753,0.966086983109618,0
2019-01-13,,5.2638608495124,1.29976145256581,0.674934824727516,1
2019-01-14,-4.57053565918795,5.50819966444457,1.38620160540079,0.725791089056979,1
2019-01-15,,5.49833674853979,1.37862498303535,0.707997211468173,1
2019-01-16,-4.14731318961812,5.52364373231383,1.38403963372717,-0.260304101432454,0
2019-01-17,,5.51692124196375,1.35097446592239,1.07548605317129,0
2019-01-18,-4.73483995859616,5.53869184182327,1.37817070006307,0.958474617214798,1
2019-01-19,-4.53004982358249,5.365164015183,1.32999077294378,0.734252380822183,0
2019-01-20,-4.69196107870944,5.33542780996,1.27674894103124,0.987651662747665,0
2019-01-21,-4.33903492741185,5.49931172300598,1.32040595397045,0.854929373769483,0
2019-01-22,-4.33032258946541,5.50401798149202,1.36188516059164,0.915330044321906,0
2019-01-23,-4.52186267069791,5.50778438255901,1.41343947599557,0.987504052463362,0
2019-01-24,-4.49754182933391,5.52008508297873,1.4605219929002,0.990692733994498,0
2019-01-25,,5.52164010994073,1.42725613397267,0.890630911919336,1
2019-01-26,-4.48514396886766,5.37708759142681,1.42867462564821,0.530245721127314,0
2019-01-27,-4.46454834732445,5.33543583435836,1.37099085287675,0.727711221256644,0
2019-01-28,-4.4428163044514,5.50608541763804,1.43316956502225,0.93098175712652,0
2019-01-29,-4.57877313399393,5.51137259769581,1.44540958329189,0.828240535067767,1
2019-01-30,-4.37484156455221,5.52425068375713,1.49281857034944,0.735807765089955,1
2019-01-31,-4.34916386108622,5.55321651638011,1.49357421910659,0.685658167937589,0
2019-02-01,-4.41234940501015,5.49400841262244,1.42745905951888,0.443849855626729,0
2019-02-02,-4.56478331630003,5.44126298224661,1.40269116426304,1.11993712856086,0
2019-02-03,-4.56699051629252,5.46466388599354,1.45718778263042,0.850397371637074,0
2019-02-04,-4.26986975895591,5.31557363457786,1.37634880129508,0.68969078832509,0
2019-02-05,-4.40556951326945,5.57729643827929,1.30776337832295,0.765148745476431,0
2019-02-06,-4.37451362876876,5.38736490708798,1.34561874860897,0.909349579731962,0
2019-02-07,-4.35821180643048,5.5894323825467,1.37680499301969,0.909878445254773,0
2019-02-08,-4.39519727733885,5.59351312594209,1.39996200193099,0.785854780845014,0
2019-02-09,-4.32926779101308,5.57832626771132,1.43143077974155,0.331374401127592,0
2019-02-10,-4.38645177744999,5.60670911224385,1.45382777644786,0.680267433713038,0
2019-02-11,-4.56827033585131,5.53781154206008,1.45363680781954,1.05634784626006,1
2019-02-12,-4.52514682610759,5.60538370774438,1.46345748126754,1.06168659603304,0
2019-02-13,-4.35003844740537,5.53763652714,1.35967741337294,0.776705631467298,1
2019-02-14,,5.55076507838076,1.25927524755698,0.340057896337558,1
2019-02-15,-4.02886194049481,5.58459805253219,1.31007346080102,0.303914526013951,0
2019-02-16,-4.45341630802878,5.45446983342094,1.30490322733493,0.532728709558233,0
2019-02-17,-4.47396429123297,5.39424148747764,1.34521030836265,0.827784607270117,0
2019-02-18,-4.45908116980622,5.54107976777663,1.38006041883046,0.884758544674315,0
2019-02-19,-4.36289928872826,5.53606073881503,1.42009333584459,0.755229932425759,0
2019-02-20,-4.33232476341514,5.51948146963526,1.43616264704076,0.720271004455016,0
2019-02-21,-4.11865722107122,5.52020832688599,1.47736246243589,0.68395900976202,0
2019-02-22,-3.90828841097827,5.57064683124187,1.49600659888004,0.573389395127547,1
2019-02-23,,5.4089603641883,1.47245170263296,0.327390295732008,1
2019-02-24,-5.04543414955729,5.35749461506757,1.45331834004704,0.786564638692972,0
2019-02-25,-5.69317634067591,5.53626544748126,1.38642464459866,0.818258385515594,0
2019-02-26,-4.32767772322087,5.5380305261289,1.33117413738685,0.78912278242036,0
2019-02-27,-4.36880366056302,5.56006332562525,1.27271164585634,0.874095161702622,1
2019-02-28,-3.934851097134,5.58071746785299,1.24592373692378,0.485509842261947,1
2019-03-01,-4.41470646185885,5.52987032943882,1.31640721752062,0.998663556641722,0
2019-03-02,-4.39638908649639,5.40262930188956,1.3063356573514,0.727263640183794,1
2019-03-03,-4.62753561813677,5.37419642313652,1.39547200731444,0.938940988487824,0
2019-03-04,-4.58862446721936,5.56873780544223,1.35418850080896,0.088150125523488,1
2019-03-05,-4.54878413706981,5.59643764180118,1.36023040323816,0.381424321522694,0
2019-03-06,-4.29592910903938,5.56899798273186,1.34036147865265,0.686115003143844,0
