ds,precipitaciones,temperatura,y,yhat,yhat_lower,yhat_upper
2019-01-01 00:00:00,0,24.9,2274,3164.6163950098417,2168.847673974814,4577.031268024251
2019-01-01 01:00:00,0,25.3,9388,2139.926148024349,1484.0737964950783,3068.874493048686
2019-01-01 02:00:00,0,25.3,12809,1428.7286280344556,986.6915229677073,2097.878189205665
2019-01-01 03:00:00,0,24.9,8795,1242.5210171238639,862.0566547711525,1796.150772570552
2019-01-01 04:00:00,0,24.2,4863,1759.7806735737588,1217.5054527656498,2560.6832587305253
2019-01-01 05:00:00,0,24.0,4354,3701.4885561995125,2553.1663290344827,5393.006060655408
2019-01-01 06:00:00,0,23.6,4339,7943.248307443065,5494.137608184224,11346.96115550521
2019-01-01 07:00:00,0,23.9,3680,12433.658274138284,8691.716913549464,17521.612978568934
2019-01-01 08:00:00,0,24.8,3282,13699.508155684756,9409.433175381662,19979.730966596144
2019-01-01 09:00:00,0,25.8,3363,13041.451089943757,9158.971755728606,18727.573549713714
2019-01-01 10:00:00,0,27.2,4517,12894.146001165529,8858.677320538694,18403.587154958073
2019-01-01 11:00:00,0,27.8,6944,13416.977335185791,9153.59126103343,19094.524788767234
2019-01-01 12:00:00,0,29.0,10542,13688.090333248912,9444.172927401803,19179.733298976804
2019-01-01 13:00:00,0,30.6,11476,13436.132223359946,9302.32308306582,19072.832016584915
2019-01-01 14:00:00,0,30.7,9084,13273.028305978958,9268.201303230222,19205.227934953386
2019-01-01 15:00:00,0,31.2,8977,13604.387184609237,9490.47683303954,19749.183903617504
2019-01-01 16:00:00,0,32.7,10909,14127.653256812,9905.734556016807,20392.135454844363
2019-01-01 17:00:00,0,32.1,12807,14282.221494920532,9880.211690757445,20152.309632589488
2019-01-01 18:00:00,1,29.5,14182,13230.80825378728,9186.242983816612,18958.418774467238
2019-01-01 19:00:00,1,29.6,14798,11815.64313591371,8226.329358271218,17287.52315882378
