Fecha_datetime,Year,Month,Day,NO2_trop_mean,NO2_trop_std,WeekofYear
2018-07-08,2018,7,8,5.057735747996809e-05,2.5383025139564164e-05,2018W27
2018-07-09,2018,7,9,,,2018W28
2018-07-10,2018,7,10,,,2018W28
2018-07-11,2018,7,11,9.506283856116676e-05,9.849213530898948e-06,2018W28
2018-07-12,2018,7,12,0.0001569188309121,1.5782301095413764e-05,2018W28
2018-07-13,2018,7,13,,,2018W28
2018-07-14,2018,7,14,0.0001220200370461,5.46656004637669e-05,2018W28
2018-07-15,2018,7,15,6.721487726624525e-05,2.1105029864980123e-05,2018W28
2018-07-16,2018,7,16,3.136447569676817e-05,3.772095362321537e-06,2018W29
2018-07-17,2018,7,17,,,2018W29
2018-07-18,2018,7,18,,,2018W29
2018-07-19,2018,7,19,,,2018W29
2018-07-20,2018,7,20,,,2018W29
2018-07-21,2018,7,21,0.0001023617505309,3.3341304140225074e-05,2018W29
2018-07-22,2018,7,22,,,2018W29
2018-07-23,2018,7,23,0.0001494206354736,6.59038660568644e-05,2018W30
2018-07-24,2018,7,24,0.0001546849853652,7.999406255653595e-05,2018W30
2018-07-25,2018,7,25,,,2018W30
2018-07-26,2018,7,26,,,2018W30
2018-07-27,2018,7,27,,,2018W30
2018-07-28,2018,7,28,,,2018W30
2018-07-29,2018,7,29,,,2018W30
2018-07-30,2018,7,30,0.0001365744969148,5.002684272590976e-05,2018W31
2018-07-31,2018,7,31,0.0002371674682806,8.640495825621729e-05,2018W31
2018-08-01,2018,8,1,0.00010312826698862979,5.2142375747651665e-05,2018W31
2018-08-02,2018,8,2,0.000121920924358,6.966219437737507e-05,2018W31
2018-08-03,2018,8,3,,,2018W31
2018-08-04,2018,8,4,,,2018W31
2018-08-05,2018,8,5,,,2018W31
2018-08-06,2018,8,6,0.0001024776629529,5.162608200150684e-05,2018W32
2018-08-07,2018,8,7,,,2018W32
2018-08-08,2018,8,8,,,2018W32
2018-08-09,2018,8,9,0.0001202333049429,2.1563711526938487e-05,2018W32
2018-08-10,2018,8,10,0.0002275365804145,5.4811146551315226e-05,2018W32
2018-08-11,2018,8,11,,,2018W32
2018-08-12,2018,8,12,4.732718138451804e-05,2.6437422959826106e-05,2018W32
2018-08-13,2018,8,13,,,2018W33
2018-08-14,2018,8,14,8.261273260527563e-05,2.8001846880018575e-05,2018W33
2018-08-15,2018,8,15,0.0003142497407021,0.0001545336760409,2018W33
2018-08-16,2018,8,16,8.801522853499018e-05,4.370876504099744e-05,2018W33
2018-08-17,2018,8,17,9.189203294942451e-05,6.156698342953639e-05,2018W33
2018-08-18,2018,8,18,,,2018W33
2018-08-19,2018,8,19,1.607812349586867e-05,9.549021277875906e-06,2018W33
2018-08-20,2018,8,20,4.0662915553311006e-05,1.6206595159684502e-05,2018W34
2018-08-21,2018,8,21,0.0004534707511743,0.0001806409100555,2018W34
2018-08-22,2018,8,22,4.770221935530384e-05,2.690209774580105e-05,2018W34
2018-08-23,2018,8,23,,,2018W34
2018-08-24,2018,8,24,,,2018W34
2018-08-25,2018,8,25,6.691689817276807e-05,2.139853359034199e-05,2018W34
2018-08-26,2018,8,26,7.341942415324266e-05,2.586153927261213e-05,2018W34
2018-08-27,2018,8,27,0.0001192533020373,6.128641167341325e-05,2018W35
2018-08-28,2018,8,28,0.00015678285949295001,7.731065545130856e-05,2018W35
2018-08-29,2018,8,29,0.0001007664736055,4.29920547630363e-05,2018W35
2018-08-30,2018,8,30,,,2018W35
2018-08-31,2018,8,31,7.73798587484065e-05,3.3367512057615806e-05,2018W35
2018-09-01,2018,9,1,0.0001178330747973,3.7866976762352986e-05,2018W35
2018-09-02,2018,9,2,5.6154484221419185e-05,2.435327957517015e-05,2018W35
2018-09-03,2018,9,3,0.0001934040584678,7.797620568568406e-05,2018W36
2018-09-04,2018,9,4,0.0001048072582643,5.14362226888428e-05,2018W36
2018-09-05,2018,9,5,7.137887952522139e-05,3.423774902946936e-05,2018W36
2018-09-06,2018,9,6,0.0001789459225489,8.58973651916419e-05,2018W36
2018-09-07,2018,9,7,0.0001046601227941,4.8728377933901776e-05,2018W36
2018-09-08,2018,9,8,3.3676035405005175e-05,8.70847993734738e-06,2018W36
2018-09-09,2018,9,9,4.186987556392514e-05,1.199894368780758e-05,2018W36
2018-09-10,2018,9,10,4.4170308122451774e-05,1.6284198309476752e-05,2018W37
2018-09-11,2018,9,11,7.487555558011749e-05,4.484774078975711e-05,2018W37
2018-09-12,2018,9,12,,,2018W37
2018-09-13,2018,9,13,0.0001360901236411,5.9245281566837364e-05,2018W37
2018-09-14,2018,9,14,9.162232207775062e-05,2.3478923066995857e-05,2018W37
2018-09-15,2018,9,15,,,2018W37
2018-09-16,2018,9,16,3.4067084106145514e-05,9.580558794957156e-06,2018W37
2018-09-17,2018,9,17,0.0003862206865966,0.0001918464324949,2018W38
2018-09-18,2018,9,18,4.2557686185091074e-05,1.6241748970370074e-05,2018W38
2018-09-19,2018,9,19,4.363786461789006e-05,1.402109052547321e-05,2018W38
2018-09-20,2018,9,20,2.9621526045937008e-05,1.386602379062947e-05,2018W38
2018-09-21,2018,9,21,0.0001415241296075,6.047163864818693e-05,2018W38
2018-09-22,2018,9,22,5.601639952304684e-05,2.244504052487684e-05,2018W38
2018-09-23,2018,9,23,,,2018W38
2018-09-24,2018,9,24,4.107874420410626e-05,1.2962094654802326e-05,2018W39
2018-09-25,2018,9,25,4.226291328055588e-05,1.6814753614548433e-05,2018W39
2018-09-26,2018,9,26,8.397402867488103e-05,5.5713916877467545e-05,2018W39
2018-09-27,2018,9,27,,,2018W39
2018-09-28,2018,9,28,,,2018W39
2018-09-29,2018,9,29,8.795642560179404e-05,3.013740780615879e-05,2018W39
2018-09-30,2018,9,30,,,2018W39
2018-10-01,2018,10,1,7.497283008000658e-05,2.3527390918919607e-05,2018W40
2018-10-02,2018,10,2,0.0002976042856924,0.0001296580858016,2018W40
2018-10-03,2018,10,3,0.000116327782328,3.852286100191562e-05,2018W40
2018-10-04,2018,10,4,0.00020112028038855,6.727674944658805e-05,2018W40
2018-10-05,2018,10,5,0.0002905710716596,9.10957510609775e-05,2018W40
2018-10-06,2018,10,6,6.148685630563025e-05,2.4101530627008585e-05,2018W40
2018-10-07,2018,10,7,7.508518973657826e-05,3.196976623310025e-05,2018W40
2018-10-08,2018,10,8,7.403419350888642e-05,2.770979599601311e-05,2018W41
2018-10-09,2018,10,9,8.361599527902218e-05,3.233607919604126e-05,2018W41
2018-10-10,2018,10,10,9.043254071172992e-05,3.0433399737773405e-05,2018W41
2018-10-11,2018,10,11,,,2018W41
2018-10-12,2018,10,12,,,2018W41
2018-10-13,2018,10,13,8.759596575992909e-05,3.4221427194895e-05,2018W41
2018-10-14,2018,10,14,5.7015101813322735e-05,1.2105346769830947e-05,2018W41
2018-10-15,2018,10,15,,,2018W42
2018-10-16,2018,10,16,0.0001165495863816,6.165736782193554e-05,2018W42
2018-10-17,2018,10,17,0.0001106032742533,4.164356957207885e-05,2018W42
2018-10-18,2018,10,18,,,2018W42
2018-10-19,2018,10,19,7.092693650283432e-05,2.5680821454203292e-05,2018W42
2018-10-20,2018,10,20,,,2018W42
2018-10-21,2018,10,21,,,2018W42
2018-10-22,2018,10,22,7.92778519098647e-06,0.0,2018W43
2018-10-23,2018,10,23,5.207287612538366e-05,1.971030721968536e-05,2018W43
2018-10-24,2018,10,24,,,2018W43
2018-10-25,2018,10,25,,,2018W43
2018-10-26,2018,10,26,9.293534502024536e-05,3.994452622652044e-06,2018W43
2018-10-27,2018,10,27,9.086838050094631e-05,3.741739792763216e-05,2018W43
