WeekofYear,NO2_trop_mean,NO2_trop_std,N_days,Fecha_datetime
2018W27,5.057735747996809e-05,2.5383025139564164e-05,1,2018-07-02
2018W28,0.000110304145946403,2.5350536238764933e-05,4,2018-07-09
2018W29,6.686311311383408e-05,1.8556699751273306e-05,2,2018-07-16
2018W30,0.0001520528104194,7.294896430670017e-05,2,2018-07-23
2018W31,0.00014969778913550744,6.455909277678845e-05,4,2018-07-30
2018W32,0.0001243936824237045,3.8609590759896665e-05,4,2018-08-06
2018W33,0.0001185695716575318,5.9472058533865664e-05,5,2018-08-13
2018W34,0.00013643444168178511,5.420193516478794e-05,5,2018-08-20
2018W35,0.00010469500881714595,4.6196148380482844e-05,6,2018-08-27
2018W36,0.00010410602179560739,4.556904916495641e-05,7,2018-09-03
2018W37,7.616507870551308e-05,3.0687340505604845e-05,5,2018-09-10
2018W38,0.00011659638209601083,5.314866249240609e-05,6,2018-09-17
2018W39,6.38180279403343e-05,2.8907043238244273e-05,4,2018-09-24
2018W40,0.000159595470884395,5.8021733584301376e-05,7,2018-10-01
2018W41,7.853875941457807e-05,2.7361209778910745e-05,5,2018-10-08
2018W42,9.935993237924477e-05,4.299391961607256e-05,3,2018-10-15
2018W43,6.295576626794731e-05,1.8409565976537205e-05,5,2018-10-22
2018W44,0.00011999469191795811,5.2664397910181166e-05,3,2018-10-29
2018W45,8.185804822751934e-05,4.071326806313162e-05,5,2018-11-05
2018W46,7.055403020232313e-05,1.3949161732595137e-05,5,2018-11-12
2018W47,7.156791303972813e-05,3.612942630323866e-05,5,2018-11-19
2018W48,9.042854398615488e-05,3.6208771619222655e-05,3,2018-11-26
2018W49,0.00011340876923855672,4.4570437510416176e-05,6,2018-12-03
2018W50,6.92108508079826e-05,2.7535052498884837e-05,4,2018-12-10
2018W51,6.888993010733524e-05,2.844265186183845e-05,5,2018-12-17
2018W52,5.159072937116609e-05,2.1422654113983975e-05,6,2018-12-24
2019W01,5.769542075516065e-05,2.2214354107699676e-05,5,2018-12-31
2019W02,5.365260005433931e-05,2.195904272968191e-05,3,2019-01-07
2019W03,6.344197178896258e-05,3.7111940553832807e-05,5,2019-01-14
2019W04,6.324993781871973e-05,2.1484356617170482e-05,5,2019-01-21
2019W05,5.9016414221804486e-05,2.363034518347041e-05,6,2019-01-28
2019W06,8.037131747092442e-05,3.9747736588908815e-05,7,2019-02-04
2019W07,8.40094903224752e-05,4.175545520462488e-05,6,2019-02-11
2019W08,0.00011358093699532785,3.8527023119177314e-05,6,2019-02-18
2019W09,0.00010065856015120096,3.744358411238561e-05,6,2019-02-25
2019W10,7.268440935247267e-05,3.237599958525494e-05,6,2019-03-04
2019W11,5.600548848366922e-05,2.5191020560228385e-05,4,2019-03-11
2019W12,0.00014153442428948028,4.461619110166797e-05,6,2019-03-18
2019W13,7.128903483676313e-05,3.171688673051007e-05,7,2019-03-25
2019W14,0.00011490190686205239,7.877791038817623e-05,4,2019-04-01
2019W15,0.00014107069582529252,4.833187236576477e-05,7,2019-04-08
2019W16,0.00010608813254836893,3.284306900104249e-05,6,2019-04-15
2019W17,0.00013348144057158455,3.802390477006907e-05,4,2019-04-22
2019W18,5.733586072143622e-05,3.610536902837139e-05,4,2019-04-29
2019W19,9.224763660544838e-05,3.564322571959401e-05,6,2019-05-06
2019W20,8.84439844842191e-05,2.3875496417015026e-05,7,2019-05-13
2019W21,0.00016318755780269135,5.4720418305872794e-05,3,2019-05-20
2019W22,0.00014072219311233642,3.987220431810513e-05,4,2019-05-27
2019W23,0.00011552973019946003,3.861561117926813e-05,5,2019-06-03
2019W24,,,0,2019-06-10
2019W25,0.00018679210106018894,5.8820115640638676e-05,3,2019-06-17
2019W26,8.506227469201467e-05,3.0471790710687776e-05,2,2019-06-24
2019W27,0.00012751660315746686,5.550058301670746e-05,6,2019-07-01
2019W28,0.00015869518019642615,6.614712479743214e-05,5,2019-07-08
2019W29,0.00013707061952998557,7.965100914951707e-05,4,2019-07-15
2019W30,0.0002207219905062312,5.070873981245766e-05,3,2019-07-22
2019W31,0.00011788634638702441,2.9043733828348984e-05,6,2019-07-29
2019W32,8.389022548041929e-05,2.4928982590942187e-05,5,2019-08-05
2019W33,0.0001297438070519891,6.885763923373624e-05,6,2019-08-12
2019W34,0.00019964828206101785,5.840064294551151e-05,6,2019-08-19
2019W35,0.00010310565757271557,3.762456276683334e-05,4,2019-08-26
2019W36,9.050830685432749e-05,6.579271826610265e-05,5,2019-09-02
2019W37,0.00018649531575331706,3.2830469021057746e-05,4,2019-09-09
2019W38,0.00011042922071290327,4.240482630731532e-05,7,2019-09-16
2019W39,0.00014429947909396618,3.0041802695934863e-05,7,2019-09-23
2019W40,6.458394417045601e-05,3.0122173185239733e-05,3,2019-09-30
2019W41,8.776243279629795e-05,2.2337496646685183e-05,5,2019-10-07
2019W42,0.00012543820063128043,4.234582428699881e-05,2,2019-10-14
2019W43,8.63794339078787e-05,2.0603917594207803e-05,6,2019-10-21
2019W44,5.2228715496171705e-05,3.47218796623389e-05,5,2019-10-28
2019W45,7.983827737606721e-05,2.6538331938029264e-05,6,2019-11-04
2019W46,9.505652434542441e-05,4.051178485899709e-05,5,2019-11-11
2019W47,7.46136414728723e-05,2.6397457370533016e-05,7,2019-11-18
2019W48,6.342525360067325e-05,2.082552901057793e-05,5,2019-11-25
2019W49,8.241807592773399e-05,2.8721707111975688e-05,5,2019-12-02
2019W50,9.32361635065408e-05,4.545745369662938e-05,6,2019-12-09
2019W51,8.068403859962223e-05,2.973138637561583e-05,6,2019-12-16
2019W52,9.273093872155845e-05,3.332079073465879e-05,5,2019-12-23
2020W01,5.218529375289783e-05,1.3588430360014761e-05,4,2019-12-30
2020W02,7.5969971670203e-05,3.157876662792019e-05,7,2020-01-06
2020W03,7.126464869044737e-05,2.6321928828696205e-05,7,2020-01-13
2020W04,6.746692663123985e-05,2.5268006158276857e-05,6,2020-01-20
2020W05,7.947481384950023e-05,3.0015046553218094e-05,6,2020-01-27
2020W06,5.2341505093627336e-05,2.8990101680393813e-05,5,2020-02-03
2020W07,7.857737656752448e-05,2.02297995552288e-05,7,2020-02-10
2020W08,6.139361355123688e-05,2.396537556421962e-05,6,2020-02-17
