WeekofYear,NO2_trop_mean,NO2_trop_std,N_days,Fecha_datetime
2020W09,0.00011710212518189537,8.401411159349928e-05,7,2020-02-24
2020W10,0.00010474553454100606,2.5179495305865713e-05,6,2020-03-02
2020W11,0.00012296932078405642,3.4938296214501464e-05,5,2020-03-09
2020W12,5.2563631084897676e-05,1.8203768943085378e-05,6,2020-03-16
2020W13,5.6217568445819645e-05,1.6395560914142944e-05,6,2020-03-23
2020W14,5.524993208491188e-05,1.6309409326795456e-05,5,2020-03-30
2020W15,3.873135517137468e-05,1.9637175391111467e-05,7,2020-04-06
2020W16,6.426458732392447e-05,2.614010883862907e-05,6,2020-04-13
2020W17,5.971440458480097e-05,2.560666465474049e-05,5,2020-04-20
2020W18,5.543347280460385e-05,1.8232436581958232e-05,5,2020-04-27
2020W19,5.665916217025609e-05,3.225709773027368e-05,5,2020-05-04
2020W20,0.0001225569225089346,2.9955561619922643e-05,7,2020-05-11
2020W21,6.686967613426484e-05,2.6280005335545237e-05,4,2020-05-18
2020W22,9.053813052655914e-05,4.070095515381518e-05,6,2020-05-25
2020W23,0.0002088514114836246,5.902808916687943e-05,4,2020-06-01
2020W24,0.00015453490500814485,2.5321795127797887e-05,6,2020-06-08
2020W25,6.044032545330995e-05,2.1315351578587896e-05,6,2020-06-15
2020W26,0.00013988142374669231,3.875717273371576e-05,5,2020-06-22
2020W27,9.309483759248476e-05,4.467176341263242e-05,5,2020-06-29
2020W28,0.00016113847779542263,4.1608166022646496e-05,6,2020-07-06
2020W29,9.928843300054899e-05,3.3183678212987504e-05,6,2020-07-13
2020W30,8.796707066670993e-05,4.018881238616112e-05,4,2020-07-20
2020W31,0.0001392306990116397,2.1680409155937235e-05,7,2020-07-27
2020W32,7.137254394864368e-05,3.681870921937261e-05,3,2020-08-03
2020W33,9.628714368555707e-05,3.100300401426928e-05,7,2020-08-10
2020W34,6.979457680406175e-05,2.3734770015309565e-05,7,2020-08-17
2020W35,7.721240673793027e-05,4.400965876260302e-05,3,2020-08-24
2020W36,0.00011283635774842762,3.923899252052605e-05,3,2020-08-31
2020W37,7.93496979591193e-05,5.223553699269294e-05,6,2020-09-07
2020W38,0.00015280196447088485,5.163812035813351e-05,6,2020-09-14
2020W39,0.00011187196671465138,2.465258402163478e-05,5,2020-09-21
2020W40,6.126209643502057e-05,3.0208971245901212e-05,6,2020-09-28
2020W41,9.568166877310018e-05,3.863701059097042e-05,7,2020-10-05
2020W42,0.00010895314383493643,2.229375504970556e-05,7,2020-10-12
2020W43,5.44378897826514e-05,5.2983119108947305e-05,4,2020-10-19
2020W44,0.00010707024578797784,3.8127252642981056e-05,5,2020-10-26
2020W45,6.255423206108751e-05,2.2806945296533668e-05,7,2020-11-02
2020W46,8.889090271010049e-05,5.2604830461681214e-05,5,2020-11-09
2020W47,8.551895313382144e-05,2.8435922610068877e-05,7,2020-11-16
2020W48,6.98282922149889e-05,3.8553132865395527e-05,3,2020-11-23
