ds,y,yhat
2019-03-12,1.86455345101424e-05,6.163086919236956e-05
2019-03-13,2.3137680898208976e-05,4.9977470296453215e-05
2019-03-14,5.657182055621506e-05,6.336790545537174e-05
2019-03-15,1.2159958661266193e-05,3.3413327438789414e-05
2019-03-16,2.1815810014960638e-05,2.9054516418179463e-05
2019-03-17,3.994345918025214e-05,2.96378501884808e-05
2019-03-18,4.455611606973775e-05,6.305581175572655e-05
2019-03-19,1.430216704057088e-05,3.529002249057281e-05
2019-03-20,3.37828448636853e-05,3.8093034155461794e-05
2019-03-21,0.0001443964777539354,7.640498536242724e-05
2019-03-22,7.913999077975108e-05,5.929800467800663e-05
2019-03-23,3.904676024175902e-05,4.9204866536996867e-05
2019-03-24,3.3471739357589684e-05,2.6871066180768044e-05
2019-03-25,5.124365522609075e-05,4.741532352935804e-05
2019-03-26,2.2182012632769666e-05,5.635096676380897e-05
2019-03-27,2.8739872532172033e-05,6.675674351777805e-05
2019-03-28,4.3285795206930574e-05,4.5909631658912476e-05
2019-03-29,4.382362477260998e-05,4.011983463680285e-05
2019-03-30,5.3249768169857955e-05,6.595734203431407e-05
2019-03-31,3.760177737946962e-05,4.786586528435272e-05
2019-04-01,8.145469693650388e-05,5.977124780742328e-05
2019-04-02,,6.903468043234854e-05
2019-04-03,7.083185539989172e-05,3.5681775798994605e-05
2019-04-04,,3.910845002167887e-05
2019-04-05,5.309677903781994e-05,3.264692565653827e-05
2019-04-06,9.373886148617661e-05,5.3370501361690186e-05
2019-04-07,5.7913728879314746e-05,5.82292122538866e-05
2019-04-08,0.00016645178454433555,7.604281852287489e-05
2019-04-09,3.8222925313566974e-05,6.416330499026048e-05
2019-04-10,7.792778779034908e-05,4.628597052994376e-05
2019-04-11,4.6006631472462726e-05,3.8278859519776034e-05
2019-04-12,0.0001124691042664242,5.213772529919499e-05
2019-04-13,5.360387672591908e-05,4.309823543976702e-05
2019-04-14,4.326763123354964e-05,7.724141171437761e-05
2019-04-15,,5.121759474150838e-05
2019-04-16,6.823682039350588e-05,6.733052304490885e-05
2019-04-17,5.456104412911502e-05,5.261217142790721e-05
2019-04-18,0.00010561245362265892,3.9805022717508446e-05
2019-04-19,6.8035736616752e-05,3.694922009503767e-05
2019-04-20,4.020015663871669e-05,3.853345812065581e-05
2019-04-21,5.681154854702729e-05,3.963290064673927e-05
2019-04-22,0.00010386647532798171,8.172640622942575e-05
2019-04-23,0.00012734831616212486,7.139828757491106e-05
2019-04-24,,5.92872510316752e-05
2019-04-25,2.9385158995864544e-05,3.8252720679298816e-05
2019-04-26,,3.3961997501903975e-05
2019-04-27,2.0161973272937994e-05,4.044616142975254e-05
2019-04-28,4.0058940461181894e-05,5.5383884257937944e-05
2019-04-29,3.0375806263389636e-05,8.136372931110829e-05
