ds,y,yhat
2020-11-11,2.6307928675389428e-05,4.013143210466512e-05
2020-11-12,6.522231264045376e-05,4.373359808044757e-05
2020-11-13,0.00010875183389893167,4.2197497819710594e-05
2020-11-14,,8.02119197275669e-05
2020-11-15,1.8483048057068378e-05,2.8694549635186777e-05
2020-11-16,7.268043043227526e-05,7.311018672402232e-05
2020-11-17,5.0146416886241515e-05,5.1933062186154215e-05
2020-11-18,3.6175285861943395e-05,6.59454594331057e-05
2020-11-19,3.4971851096411386e-05,4.3627112913910414e-05
2020-11-20,3.9433891877012334e-05,2.027840353596798e-05
2020-11-21,4.294791429053392e-05,3.9972493808088634e-05
2020-11-22,2.8193187266971816e-05,3.182838783539834e-05
2020-11-23,3.3893395596489413e-05,3.4558559257832776e-05
2020-11-24,4.7455304735626584e-05,2.8361652295809233e-05
2020-11-25,3.1037694107012956e-05,7.361330684577293e-05
2020-11-26,3.717497137238654e-05,3.327301617151683e-05
2020-11-27,2.5910073025804273e-05,3.871016579796252e-05
2020-11-28,,2.6880738131603108e-05
2020-11-29,3.6034601396742506e-05,3.2668389659549974e-05
2020-11-30,6.700311001363847e-05,4.985512490578461e-05
2020-12-01,4.277577399188044e-05,4.413269603212636e-05
