ds,y,yhat,yhat_lower,yhat_upper
2019-01-01,1.0334739640717669e-05,1.010919470090479e-05,4.534053607888866e-06,2.1438700221779977e-05
2019-01-02,,9.974110099358763e-05,5.690971094462795e-05,0.00017085034794301422
2019-01-03,7.964380733354886e-05,6.720883493090197e-05,3.747853216950428e-05,0.00011719022015569666
2019-01-04,0.00011068330628836018,6.2687951858626e-05,3.647423461053578e-05,0.0001078947106790233
2019-01-05,4.7400223172410416e-05,4.793336365120046e-05,2.8059455410178952e-05,8.317339817777521e-05
2019-01-06,,5.3192030645376206e-05,3.003103332233633e-05,9.199737196545935e-05
2019-01-07,,7.33219232934073e-05,4.121949250771612e-05,0.00012816888633343236
2019-01-08,3.568381173195612e-05,0.00010151863327852746,6.002873565004456e-05,0.0001781496333769433
2019-01-09,,7.789468694323603e-05,4.370594584815625e-05,0.00013822395340223396
2019-01-10,,4.372861506430077e-05,2.4404201396284448e-05,7.587857939099947e-05
2019-01-11,8.132093307191743e-05,7.18883358506497e-05,4.339746114805781e-05,0.00012621828770521457
2019-01-12,4.395305535914343e-05,4.803046913978035e-05,2.8428100354246092e-05,8.426136148967572e-05
2019-01-13,,4.416928961552855e-05,2.5769775583471375e-05,7.820724947145043e-05
2019-01-14,5.6295584453278474e-05,6.166102798035652e-05,3.490765694352749e-05,0.00010758307304565133
2019-01-15,,6.343160252580926e-05,3.680058317327984e-05,0.00011001509482607719
2019-01-16,0.0001659669622785448,0.0002781550223327622,0.0001555780790446932,0.0004794513857034823
2019-01-17,,4.915880999190121e-05,2.881433701109908e-05,8.828639131617756e-05
2019-01-18,1.1996398696296826e-05,5.105572106156331e-05,2.8774931854335773e-05,9.000162535633236e-05
2019-01-19,4.924458875451413e-05,6.242471680452254e-05,3.574022994007396e-05,0.00010992148572013988
2019-01-20,3.370632476222423e-05,3.579973494227467e-05,2.074794335871937e-05,6.311362953821125e-05
2019-01-21,7.226521901204132e-05,6.406606830726648e-05,3.636059152274873e-05,0.00011355870961229194
2019-01-22,6.99786942534461e-05,5.719827842409561e-05,3.2890432998820405e-05,0.000101704010089841
2019-01-23,5.926622091559256e-05,4.937975588331154e-05,2.7754197518695436e-05,8.694859875434924e-05
2019-01-24,4.782991496124029e-05,5.155601171125788e-05,2.8412726777880975e-05,9.336916555360605e-05
2019-01-25,,5.490575333088595e-05,3.1515456062692784e-05,9.497172343798828e-05
2019-01-26,,7.878551081792129e-05,4.519208330827052e-05,0.00013611456197626005
2019-01-27,6.69096399512789e-05,4.8702880092348996e-05,2.851905283540581e-05,8.686083866941787e-05
2019-01-28,3.69406932761079e-05,5.411174558414951e-05,3.0728051515832976e-05,9.386357802988015e-05
2019-01-29,4.023937569925481e-05,5.448879909949338e-05,3.1267760387845724e-05,9.519087831089935e-05
2019-01-30,8.134558085476068e-05,5.963380551656368e-05,3.3930775076233706e-05,0.00010282672274537838
2019-01-31,9.527775154303478e-05,8.105538876093419e-05,4.6859842359809306e-05,0.00013822543914069984
2019-02-01,,0.00011914340823166427,6.890287158632866e-05,0.00020661050409069654
2019-02-02,4.869233333507699e-05,3.89445771681934e-05,2.193759257078843e-05,6.723112542443232e-05
2019-02-03,5.160275062258964e-05,4.287681554486647e-05,2.496865464327652e-05,7.403147840601548e-05
2019-02-04,0.0001187140403508515,7.358156509060162e-05,4.288317109271718e-05,0.00012932399955532047
2019-02-05,6.751901643030316e-05,8.477314043930841e-05,4.754148998287796e-05,0.00014745332989662196
2019-02-06,5.709433994113431e-05,5.928227101572829e-05,3.359545134713214e-05,0.00010194809216413714
2019-02-07,7.933779415043828e-05,7.148362353163238e-05,3.9542149128106506e-05,0.0001210907508906026
2019-02-08,0.00010329959619102294,8.545288881405294e-05,4.8968295011716976e-05,0.00014772658359945515
2019-02-09,8.088638310679384e-05,0.00012926713243605905,7.538921589254288e-05,0.00023121693489542785
2019-02-10,5.574805212600126e-05,6.293295555508037e-05,3.7363710291201555e-05,0.00011014727522457361
2019-02-11,5.232628442859806e-05,4.3974955505331754e-05,2.5239299073843778e-05,7.5696755962124e-05
2019-02-12,6.162167639911406e-05,5.228099926093264e-05,3.0100883136663462e-05,9.29141324819529e-05
2019-02-13,7.021319820737971e-05,7.213580544075154e-05,4.2299163660655424e-05,0.0001248526811943519
