ds,y,yhat,yhat_lower,yhat_upper
2019-03-26,1.8681599613046304e-05,7.477598106120644e-05,4.3124358036587414e-05,0.00012876223700571433
2019-03-27,5.7703701276070505e-05,9.138321779072881e-05,5.001020936540424e-05,0.000159068155753344
2019-03-28,7.626640251802351e-05,6.898813746742248e-05,3.913995714145279e-05,0.00011912167536670989
2019-03-29,7.52310708396065e-05,7.257674002744464e-05,4.1852164737724105e-05,0.0001287361140704231
2019-03-30,0.00010245781516274193,0.00010888278785185128,6.317236365743252e-05,0.00018742498336837704
2019-03-31,5.376898315586629e-05,6.402389801151154e-05,3.654848274519817e-05,0.00011523022018676191
2019-04-01,,8.965727318825031e-05,5.137854498485727e-05,0.0001560382049832751
2019-04-02,,7.683967034647672e-05,3.6612095955746856e-05,0.00016740461540923706
2019-04-03,0.00010107438661627082,5.5567024362432256e-05,3.1854476373106615e-05,9.92220769162784e-05
2019-04-04,,8.047911711554697e-05,4.522981524464373e-05,0.0001406948734768077
2019-04-05,9.141713332049564e-05,5.9358123650208e-05,3.3705050029037435e-05,0.0001053305659105933
2019-04-06,0.00016762342769568322,9.282596666634804e-05,5.440141325715188e-05,0.00016346100640350064
2019-04-07,9.949267981591228e-05,7.999499070605351e-05,4.559817189295873e-05,0.00014095372029302485
2019-04-08,0.0003624950564434433,0.00011560246073006943,6.776428753206452e-05,0.0002030630869903275
2019-04-09,5.971660351120557e-05,9.997814399625857e-05,5.699790465633533e-05,0.00017751684036072373
2019-04-10,0.00015504588185698417,8.265861088896887e-05,4.5496696391254706e-05,0.00014727450585666504
2019-04-11,6.580983138555799e-05,7.809204695256006e-05,4.467939030459043e-05,0.00013459905806054208
2019-04-12,0.000192127576857904,0.00010658541967584756,6.115144984747959e-05,0.0001852587199938486
2019-04-13,8.328465063093904e-05,6.965875372461393e-05,4.0355479287663515e-05,0.00012101786952148525
2019-04-14,6.901527009114696e-05,0.00011145707124758029,6.361915117207215e-05,0.0001935083290194256
2019-04-15,,7.231844894172999e-05,4.1918338184751315e-05,0.00012456025524330123
2019-04-16,9.755360931960807e-05,0.00010859890937699692,6.228335886347697e-05,0.0001894958627131747
