ds,y,yhat,yhat_lower,yhat_upper
2020-11-10,6.669204024162067e-05,5.5748706339681896e-05,3.248904999815336e-05,9.797552015736866e-05
2020-11-11,8.224678836948188e-05,5.5190252452454454e-05,3.189319117470296e-05,9.84464364750237e-05
2020-11-12,0.00011132215463966728,6.993367428033801e-05,3.9397757931627334e-05,0.00012427549260603273
2020-11-13,0.00015302019205507675,7.160349161315729e-05,4.0786945673231237e-05,0.00012612962987399752
2020-11-14,,0.00014879025498451141,8.380967546034796e-05,0.00026634797371070766
2020-11-15,3.1173338244800266e-05,3.414041813057711e-05,1.9751621719675265e-05,5.854332842680017e-05
2020-11-16,0.00014842372259913907,9.956101355512904e-05,5.6767711745878774e-05,0.00017389963366373632
2020-11-17,0.00010658020684598396,7.004493256881972e-05,4.027274934668505e-05,0.00012724282125148323
2020-11-18,9.068738952806424e-05,0.00010721692989529805,6.140860104968941e-05,0.0001883847633284103
2020-11-19,7.43339251296151e-05,6.938654177874455e-05,4.00612144747667e-05,0.0001242250843858614
2020-11-20,6.597795686463663e-05,0.00010163487173614298,4.7279703165821366e-05,0.0002136499040827366
2020-11-21,6.402556971926818e-05,5.664002885837596e-05,3.175819283810444e-05,0.00010050390077820597
2020-11-22,4.8603901250166675e-05,3.650731364500816e-05,2.0565707637860432e-05,6.500900308207428e-05
2020-11-23,5.973415336790251e-05,4.2602228271478945e-05,2.448694430994694e-05,7.67806193272508e-05
2020-11-24,,4.2044000734203326e-05,2.4001608920274056e-05,7.4609162408989e-05
2020-11-25,8.124555967954075e-05,0.0001245535716231325,7.053774984893985e-05,0.00022429087365833368
2020-11-26,6.850516359752304e-05,5.098177146734334e-05,2.8707974413938438e-05,9.064131357132277e-05
2020-11-27,4.141299813197132e-05,6.288380001474124e-05,3.5960916422882385e-05,0.00011103738525690178
2020-11-28,,4.231924779867165e-05,2.3455083646386595e-05,7.48733740001575e-05
2020-11-29,6.205180289107304e-05,3.845249455631653e-05,2.1722024313271167e-05,6.549609385136036e-05
2020-11-30,0.0001497205380579964,6.311608936933443e-05,3.679519718650631e-05,0.00011274921097145417
