ds,y,yhat
2019-01-01,1.2881883619742194e-05,2.9405586008529798e-05
2019-01-02,,3.280728697449251e-05
2019-01-03,4.212561210417436e-05,4.0810664458599474e-05
2019-01-04,4.957500644580365e-05,3.818804516375784e-05
2019-01-05,3.6065519180667385e-05,3.605547684959819e-05
2019-01-06,1.7748353486509568e-05,3.386165250595901e-05
2019-01-07,,3.60727354482188e-05
2019-01-08,2.6262038179866942e-05,4.696186741879993e-05
2019-01-09,3.8719589086704045e-05,3.127782735153391e-05
2019-01-10,,3.21115717438333e-05
2019-01-11,5.0261787451117576e-05,4.367809977240901e-05
2019-01-12,3.0260527269646098e-05,3.6659302512207554e-05
2019-01-13,,3.2272375474946537e-05
2019-01-14,2.6882171090265424e-05,3.593451109754514e-05
2019-01-15,,3.467935292259133e-05
2019-01-16,7.123391445118298e-05,6.986183023949074e-05
2019-01-17,,3.6833714605991715e-05
2019-01-18,1.8414504674304886e-05,3.3706071517537334e-05
2019-01-19,2.950870674397424e-05,3.7162843118907156e-05
2019-01-20,2.032539158086805e-05,3.3041276922077924e-05
2019-01-21,4.581050428963602e-05,3.2509183017066424e-05
2019-01-22,4.6738784144597025e-05,3.35597864036992e-05
2019-01-23,3.0070270115470158e-05,3.4332024409022854e-05
2019-01-24,3.1802273680686944e-05,3.607211571674054e-05
2019-01-25,,3.2677319563941714e-05
2019-01-26,3.2723219923656046e-05,4.00579960344602e-05
2019-01-27,3.4312443974391355e-05,3.7964738883225706e-05
2019-01-28,3.6073119090009676e-05,3.445652334786152e-05
2019-01-29,2.6377089078524025e-05,3.0242285623296017e-05
2019-01-30,4.218503710585865e-05,3.674997804606153e-05
2019-01-31,4.4754441197741886e-05,3.536313342282581e-05
2019-02-01,3.869462079799086e-05,5.215220863148971e-05
2019-02-02,2.724060091619537e-05,3.741108801389592e-05
2019-02-03,2.710250815109508e-05,3.8624670568292505e-05
2019-02-04,5.3719287157051615e-05,4.482164234276163e-05
2019-02-05,3.930343307119163e-05,4.3071325870786865e-05
2019-02-06,4.221690305881319e-05,4.180358093215315e-05
2019-02-07,4.3831687747672446e-05,4.094543402111921e-05
2019-02-08,4.025341425168346e-05,4.4205215507356583e-05
2019-02-09,4.685243954834776e-05,5.3728731246948415e-05
2019-02-10,4.1072224251346234e-05,4.591331620036744e-05
2019-02-11,2.7022757513705978e-05,3.195915828839401e-05
2019-02-12,2.984373492528748e-05,3.6815407614020234e-05
2019-02-13,4.4664404970754784e-05,3.4041223803661064e-05
2019-02-14,,3.976827682923568e-05
2019-02-15,9.357030810425125e-05,6.412125674024921e-05
2019-02-16,3.5203325557282306e-05,4.9522712658441345e-05
2019-02-17,3.357652205553459e-05,3.345435742817092e-05
2019-02-18,3.474712128701972e-05,3.1347003378294114e-05
2019-02-19,4.336114196016503e-05,3.491871889566668e-05
2019-02-20,4.652380605295935e-05,3.4990605795318086e-05
2019-02-21,7.609266223669447e-05,4.392676426062774e-05
2019-02-22,0.00012351269245772792,2.9374280910112368e-05
2019-02-23,,3.604650035558296e-05
2019-02-24,9.006703176584592e-06,3.68958475247072e-05
2019-02-25,2.026859567550238e-06,3.5376491327479e-05
2019-02-26,4.702429321986207e-05,3.711352516623383e-05
2019-02-27,4.277562260131986e-05,3.812468818228447e-05
2019-02-28,0.00011618468981512501,3.846199838201089e-05
2019-03-01,3.848518141707504e-05,3.925079979418204e-05
2019-03-02,4.014310057459953e-05,3.111927941554118e-05
2019-03-03,2.357568834875082e-05,3.9158129964544755e-05
2019-03-04,2.5785498555069462e-05,5.347242119065084e-05
2019-03-05,2.8262844100730087e-05,5.714857349483277e-05
2019-03-06,5.059072357508253e-05,5.027441834310582e-05
2019-03-07,4.659743934230032e-05,3.069663464028852e-05
2019-03-08,3.1487234960927313e-05,3.1373938418404e-05
2019-03-09,2.689016736612798e-05,4.1363387843349406e-05
2019-03-10,3.500873706979919e-05,4.7200073570927794e-05
2019-03-11,2.1179222729177595e-05,4.542818716763633e-05
2019-03-12,1.86455345101424e-05,3.865399392210682e-05
2019-03-13,2.3137680898208976e-05,4.5704061616201976e-05
2019-03-14,5.657182055621506e-05,5.39421047319579e-05
2019-03-15,1.2159958661266193e-05,3.706460858888648e-05
2019-03-16,2.1815810014960638e-05,3.2546152174849236e-05
2019-03-17,3.994345918025214e-05,3.2850072088583284e-05
2019-03-18,4.455611606973775e-05,4.449040336362437e-05
2019-03-19,1.430216704057088e-05,3.7830899929110814e-05
2019-03-20,3.37828448636853e-05,3.2531130200265456e-05
2019-03-21,0.0001443964777539354,6.655760162271747e-05
2019-03-22,7.913999077975108e-05,5.506109525446648e-05
2019-03-23,3.904676024175902e-05,4.746745382309251e-05
2019-03-24,3.3471739357589684e-05,3.883375749668268e-05
2019-03-25,5.124365522609075e-05,3.55809884554122e-05
2019-03-26,2.2182012632769666e-05,3.876772635632835e-05
2019-03-27,2.8739872532172033e-05,5.358186175293928e-05
2019-03-28,4.3285795206930574e-05,4.5766052313796085e-05
2019-03-29,4.382362477260998e-05,3.554978368895739e-05
2019-03-30,5.3249768169857955e-05,5.513971755546743e-05
2019-03-31,3.760177737946962e-05,4.5307030648755715e-05
2019-04-01,8.145469693650388e-05,5.577760456452432e-05
2019-04-02,,6.174766746314802e-05
2019-04-03,7.083185539989172e-05,4.360831713814394e-05
2019-04-04,,3.2585785555679744e-05
2019-04-05,5.309677903781994e-05,3.916441564486168e-05
2019-04-06,9.373886148617661e-05,5.0344295295036434e-05
2019-04-07,5.7913728879314746e-05,5.515055533297942e-05
2019-04-08,0.00016645178454433555,6.331907431002678e-05
2019-04-09,3.8222925313566974e-05,5.423881358207743e-05
2019-04-10,7.792778779034908e-05,3.485984646498331e-05
2019-04-11,4.6006631472462726e-05,3.375074310972752e-05
2019-04-12,0.0001124691042664242,4.7511377941100636e-05
2019-04-13,5.360387672591908e-05,4.5509966978284805e-05
2019-04-14,4.326763123354964e-05,7.305019065651296e-05
2019-04-15,,3.7141696206996685e-05
2019-04-16,6.823682039350588e-05,6.0872027307756977e-05
2019-04-17,5.456104412911502e-05,4.2185469678526544e-05
2019-04-18,0.00010561245362265892,5.12010176253218e-05
2019-04-19,6.8035736616752e-05,4.748988778599486e-05
2019-04-20,4.020015663871669e-05,3.9080118448759974e-05
2019-04-21,5.681154854702729e-05,5.873591371431098e-05
2019-04-22,0.00010386647532798171,5.382328756500191e-05
2019-04-23,0.00012734831616212486,5.9834066381871554e-05
2019-04-24,,5.2078463139976306e-05
2019-04-25,2.9385158995864544e-05,4.516148216550634e-05
2019-04-26,,3.5284676911269465e-05
2019-04-27,2.0161973272937994e-05,3.1352895077087895e-05
2019-04-28,4.0058940461181894e-05,4.827437795683964e-05
2019-04-29,3.0375806263389636e-05,5.5442957257818005e-05
2019-04-30,,4.977478353633582e-05
2019-05-01,4.0377124813152316e-05,4.272739556689726e-05
2019-05-02,4.258074357915097e-05,4.737273253076928e-05
2019-05-03,5.478992379828447e-05,8.45729803047728e-05
2019-05-04,4.200554616874196e-05,3.728285580994537e-05
2019-05-05,,3.120936454891403e-05
2019-05-06,7.308578393628504e-05,5.3213276975753206e-05
2019-05-07,4.211646940952062e-05,4.786344885490549e-05
2019-05-08,5.9466118409762657e-05,4.0488600574530865e-05
2019-05-09,,3.882296360937521e-05
2019-05-10,3.5263044873589854e-05,3.786238173420146e-05
2019-05-11,6.166589566575155e-05,5.180497383213614e-05
2019-05-12,6.579327700539979e-05,5.8421061875986365e-05
2019-05-13,8.991092014829503e-05,7.281471895594449e-05
2019-05-14,7.699856900614771e-05,5.06599868469679e-05
2019-05-15,5.069322177432199e-05,5.569648749861948e-05
2019-05-16,4.390675053802299e-05,6.503615748085456e-05
2019-05-17,4.121665452431824e-05,4.11354083784786e-05
2019-05-18,7.747734037957638e-05,3.468683754376774e-05
2019-05-19,3.804611589193098e-05,2.880053253761164e-05
2019-05-20,6.252116220833587e-05,3.555366419371148e-05
2019-05-21,,4.1369234643623186e-05
2019-05-22,4.575823478452865e-05,5.4329743768976415e-05
2019-05-23,0.00013674423575052403,0.00010844484335573337
2019-05-24,0.00010646303858592032,7.963917780303141e-05
2019-05-25,3.477813128838623e-05,5.0214380432317e-05
2019-05-26,7.254069476922507e-05,4.237624780307642e-05
2019-05-27,,9.029674702066662e-05
2019-05-28,0.00013701925912697197,0.00010463475255038022
2019-05-29,,7.740767691643942e-05
2019-05-30,,3.398180454268116e-05
2019-05-31,4.518403804467511e-05,7.741635303772089e-05
2019-06-01,7.868161880122372e-05,6.933933644673536e-05
2019-06-02,7.429900835214638e-05,8.0455324041899e-05
2019-06-03,0.00015371452998168319,9.914743121443415e-05
2019-06-04,5.078096548342201e-05,4.601866882046e-05
2019-06-05,1.1227785136259924e-05,4.268429779085765e-05
2019-06-06,,4.143364517203115e-05
2019-06-07,7.379333090507556e-05,4.356765700125216e-05
2019-06-08,6.478228297454804e-05,7.135840454095403e-05
2019-06-09,5.087514944414417e-05,5.491073790454218e-05
2019-06-10,,0.00011084058572194152
2019-06-11,,4.0130161611238176e-05
2019-06-12,,4.050538257351544e-05
2019-06-13,,4.0324538620333185e-05
2019-06-14,,4.1281313919176e-05
2019-06-15,,3.311978833941136e-05
2019-06-16,,2.8691085043254377e-05
2019-06-17,,6.2215106404964e-05
2019-06-18,,4.254669925570018e-05
2019-06-19,5.338348185676354e-05,5.959204961413954e-05
2019-06-20,0.00011113305446314791,9.358848912368285e-05
2019-06-21,,5.843536569488088e-05
2019-06-22,0.00016885433441778352,8.8472384703039e-05
2019-06-23,,7.493124072464362e-05
2019-06-24,,4.788777888834747e-05
2019-06-25,4.042992461740966e-05,3.958001278131901e-05
2019-06-26,9.371365696035786e-05,6.700263125795066e-05
2019-06-27,6.944589936904894e-05,5.776457273261585e-05
2019-06-28,,7.37452258139277e-05
2019-06-29,,4.285296737469975e-05
2019-06-30,,3.5015063722936754e-05
2019-07-01,8.684322827494815e-05,5.758893639753807e-05
2019-07-02,,5.413764931066664e-05
2019-07-03,4.432229626296584e-05,5.9348919379351805e-05
2019-07-04,9.080923374839497e-05,4.50067816917672e-05
2019-07-05,6.368615681004478e-05,4.8677941443909296e-05
