ds,y,yhat
2019-01-01,1.0334739640717669e-05,6.147855324736698e-05
2019-01-02,,9.203051801987973e-05
2019-01-03,7.964380733354886e-05,7.766294481435527e-05
2019-01-04,0.00011068330628836018,6.724980630673651e-05
2019-01-05,4.7400223172410416e-05,6.139296685047294e-05
2019-01-06,,7.278360640333453e-05
2019-01-07,,7.940396357049053e-05
2019-01-08,3.568381173195612e-05,8.207023262894596e-05
2019-01-09,,7.953508878726315e-05
2019-01-10,,6.169229321556289e-05
2019-01-11,8.132093307191743e-05,7.676546643096159e-05
2019-01-12,4.395305535914343e-05,5.757911440930765e-05
2019-01-13,,5.655676495102129e-05
2019-01-14,5.6295584453278474e-05,6.777552229930407e-05
2019-01-15,,7.292522127905721e-05
2019-01-16,0.0001659669622785448,0.00013243338079867802
2019-01-17,,5.537682317329753e-05
2019-01-18,1.1996398696296826e-05,6.207287993283341e-05
2019-01-19,4.924458875451413e-05,6.317557068935942e-05
2019-01-20,3.370632476222423e-05,5.5648380397544633e-05
2019-01-21,7.226521901204132e-05,6.413021103681831e-05
2019-01-22,6.99786942534461e-05,6.074296656172762e-05
2019-01-23,5.926622091559256e-05,6.264227091952313e-05
2019-01-24,4.782991496124029e-05,7.395317124316922e-05
2019-01-25,,7.059594769852539e-05
2019-01-26,,8.85439626832737e-05
2019-01-27,6.69096399512789e-05,6.791292439911315e-05
2019-01-28,3.69406932761079e-05,7.052219128832593e-05
2019-01-29,4.023937569925481e-05,8.207965555763559e-05
2019-01-30,8.134558085476068e-05,9.26550887621364e-05
2019-01-31,9.527775154303478e-05,0.00010301122066369605
2019-02-01,,9.168378647228839e-05
2019-02-02,4.869233333507699e-05,6.25721830393606e-05
2019-02-03,5.160275062258964e-05,6.274398164210372e-05
2019-02-04,0.0001187140403508515,6.209863843991572e-05
2019-02-05,6.751901643030316e-05,7.808072246102762e-05
2019-02-06,5.709433994113431e-05,7.210086621872979e-05
2019-02-07,7.933779415043828e-05,6.971242351383511e-05
2019-02-08,0.00010329959619102294,8.530135419466137e-05
2019-02-09,8.088638310679384e-05,9.894880370301396e-05
2019-02-10,5.574805212600126e-05,8.081416676876009e-05
2019-02-11,5.232628442859806e-05,6.02850806639955e-05
2019-02-12,6.162167639911406e-05,6.0750508922451374e-05
2019-02-13,7.021319820737971e-05,7.762548335293674e-05
2019-02-14,,0.00012186259001847912
2019-02-15,0.00020404617432321438,0.00013189359284471294
2019-02-16,6.772507777073007e-05,9.695981612802792e-05
2019-02-17,4.812453080588042e-05,5.257617448616209e-05
2019-02-18,7.862917398604975e-05,5.97417864099e-05
2019-02-19,9.472376219659442e-05,7.120672874393428e-05
2019-02-20,6.914288480350672e-05,8.121884380364383e-05
2019-02-21,0.0001487110502067387,9.465635876583919e-05
2019-02-22,0.00026319298902127496,9.983697867203024e-05
2019-02-23,,0.00010358821663689467
2019-02-24,2.7085761757916923e-05,6.523271263631454e-05
2019-02-25,,7.04817075579399e-05
2019-02-26,6.942856239702683e-05,7.507489912791236e-05
2019-02-27,8.796758315958367e-05,7.773653165576763e-05
2019-02-28,0.00027452193760214096,0.00012727354123004365
2019-03-01,6.754574888934093e-05,6.612553263659939e-05
2019-03-02,7.467274433446778e-05,7.490661617862125e-05
2019-03-03,2.9814784524687238e-05,6.407165976197178e-05
2019-03-04,,0.00011127308119006441
2019-03-05,6.37129768585813e-05,9.617343046346627e-05
2019-03-06,0.00010368978868028279,8.48024147929502e-05
2019-03-07,0.00011414054068524385,9.124401680211963e-05
2019-03-08,4.819919908096162e-05,5.8515244707164544e-05
2019-03-09,5.453161452707566e-05,6.934170388071805e-05
2019-03-10,5.183233628281886e-05,7.837277938031276e-05
2019-03-11,3.507705574859775e-05,6.542686120807086e-05
2019-03-12,,8.465228925162276e-05
2019-03-13,3.942649562376887e-05,8.268628478160798e-05
2019-03-14,8.410314302210566e-05,0.00010087010244633249
2019-03-15,,6.810550390303028e-05
2019-03-16,,6.221706373013776e-05
2019-03-17,6.541525954023228e-05,6.184296851980486e-05
2019-03-18,7.769018903863671e-05,7.076726564583425e-05
2019-03-19,,6.981058693783001e-05
2019-03-20,5.274150003196867e-05,6.333614666314847e-05
2019-03-21,0.0004141539176857641,0.000129174041801979
2019-03-22,0.00019142398781721537,0.0001039418954782581
2019-03-23,5.757260753316381e-05,8.469282875067676e-05
2019-03-24,5.562434363021215e-05,6.144278323834855e-05
2019-03-25,0.00011491367129201601,6.372985476075881e-05
2019-03-26,1.8681599613046304e-05,6.819890591952483e-05
2019-03-27,5.7703701276070505e-05,0.00010313888053970522
2019-03-28,7.626640251802351e-05,8.0254329005826e-05
2019-03-29,7.52310708396065e-05,9.143329496138811e-05
2019-03-30,0.00010245781516274193,0.0001189640562573204
2019-03-31,5.376898315586629e-05,8.760278528781338e-05
2019-04-01,,8.163919271306788e-05
2019-04-02,,0.00010056577149580002
2019-04-03,0.00010107438661627082,7.082099853357821e-05
2019-04-04,,8.648059658621954e-05
2019-04-05,9.141713332049564e-05,6.666094768618383e-05
2019-04-06,0.00016762342769568322,8.831838992863055e-05
2019-04-07,9.949267981591228e-05,8.54369450073256e-05
2019-04-08,0.0003624950564434433,9.432932217755837e-05
2019-04-09,5.971660351120557e-05,8.93545542393881e-05
2019-04-10,0.00015504588185698417,8.881557833665357e-05
2019-04-11,6.580983138555799e-05,8.535134901405641e-05
2019-04-12,0.000192127576857904,8.777136372768822e-05
2019-04-13,8.328465063093904e-05,8.019961677457405e-05
2019-04-14,6.901527009114696e-05,0.00011572818835621577
2019-04-15,,7.156725007334445e-05
2019-04-16,9.755360931960807e-05,9.029705562881428e-05
2019-04-17,8.612400475350627e-05,6.986284933709548e-05
2019-04-18,0.00016967601452094855,8.669470467443353e-05
2019-04-19,8.953034608453431e-05,7.496632963192843e-05
2019-04-20,7.25006321610658e-05,6.716280613236787e-05
2019-04-21,0.00012114418845063691,0.00011134704158439224
2019-04-22,0.0001711692859782675,0.00010669877395007895
2019-04-23,0.00022727744470298558,8.929058195996911e-05
2019-04-24,,8.236972716485104e-05
2019-04-25,,7.389399906511344e-05
2019-04-26,,8.07336217936553e-05
2019-04-27,6.044354884940137e-05,8.361978620908293e-05
2019-04-28,7.503548275583698e-05,9.350455921573245e-05
2019-04-29,3.2305448860878916e-05,0.00010409863793919285
2019-04-30,,9.547758201840887e-05
2019-05-01,4.4439778029693845e-05,8.025003330579146e-05
2019-05-02,,8.626844298840641e-05
2019-05-03,9.467225570406302e-05,0.0001303982220551818
2019-05-04,5.792596029111015e-05,7.687220350989363e-05
2019-05-05,,6.746697514577337e-05
2019-05-06,0.00013656593403153493,8.711387531644336e-05
2019-05-07,7.512279964197558e-05,8.7960531856434e-05
2019-05-08,9.910592827730778e-05,8.6818605223155e-05
2019-05-09,,8.644831025126905e-05
2019-05-10,4.513956276502566e-05,7.112606685520874e-05
2019-05-11,9.496630929938019e-05,8.950273388314471e-05
2019-05-12,0.00010258528561759768,8.906415577370069e-05
2019-05-13,0.00013227895591326824,0.000120680627883353
2019-05-14,0.00011279021593985501,8.051883095530553e-05
2019-05-15,6.027591839554529e-05,8.757244628064451e-05
2019-05-16,6.684581810757881e-05,9.775910115140431e-05
2019-05-17,8.34131295827061e-05,6.990039720523847e-05
2019-05-18,0.00010940206331992898,8.160675625766937e-05
2019-05-19,5.410179013080364e-05,5.85667615362159e-05
2019-05-20,,6.266901638559773e-05
2019-05-21,,7.170005446394667e-05
2019-05-22,6.160744886417388e-05,8.39700240349981e-05
2019-05-23,0.00023773389566103954,0.0001771651127068639
2019-05-24,0.00019022132888294697,0.00011420597049272184
2019-05-25,,8.201729409225462e-05
2019-05-26,,6.650609988613989e-05
2019-05-27,,0.00014141741433335676
2019-05-28,0.00021388289071355528,0.00014822603343401063
2019-05-29,,0.00011489787816402526
2019-05-30,,8.62321468331542e-05
2019-05-31,0.00010380176615240312,0.00011573566438161591
2019-06-01,0.0001110913578892818,0.00010004515955305974
2019-06-02,0.00013411275769420814,0.00012368358299257777
2019-06-03,0.00022394630153359411,0.00014119278657908336
2019-06-04,7.497821797791496e-05,8.352398629639415e-05
2019-06-05,,7.995250226809618e-05
2019-06-06,,9.110471550443532e-05
2019-06-07,0.00010603900209801681,9.633397540614068e-05
2019-06-08,0.00011470285224921974,0.00011070873028017091
2019-06-09,5.798227713870748e-05,7.869902276897537e-05
2019-06-10,,0.0001545321658346784
2019-06-11,,8.681574403659987e-05
2019-06-12,,0.00010439516101753126
2019-06-13,,8.841579710558096e-05
2019-06-14,,9.768939973628782e-05
2019-06-15,,6.312895594890354e-05
2019-06-16,,5.4119493951601316e-05
2019-06-17,,0.00013612635750630584
2019-06-18,,8.504712708318568e-05
2019-06-19,7.834792200606769e-05,8.353397563179756e-05
2019-06-20,0.00014500213832306113,0.00013129400750884566
2019-06-21,,9.38316586641729e-05
2019-06-22,0.00033702624285159873,0.00014553693295137686
2019-06-23,,9.882808541577692e-05
2019-06-24,,8.959648495813436e-05
2019-06-25,5.676430782262968e-05,7.98876731147173e-05
2019-06-26,,9.131748357999355e-05
2019-06-27,0.00011336024156143439,8.100274945269246e-05
2019-06-28,,0.00014945117101053133
2019-06-29,,0.00011343097512398064
2019-06-30,,7.105400943051525e-05
2019-07-01,0.00013547687481798136,9.408110718490239e-05
2019-07-02,,8.946330924795867e-05
2019-07-03,6.490486827560437e-05,9.033397922659374e-05
2019-07-04,0.00010080674400129209,8.545432268570831e-05
2019-07-05,8.634794433509614e-05,9.09834726021609e-05
2019-07-06,0.00024363596569008039,0.00016085529911903857
2019-07-07,0.00013392722182505457,0.00010902718499444523
2019-07-08,0.0001555472327641123,9.858301644282338e-05
2019-07-09,0.00016816839759624478,0.0001228972537730642
2019-07-10,,0.0001774317698566904
2019-07-11,,0.00011893382458668799
2019-07-12,9.960225158913024e-05,0.00011384781215827968
2019-07-13,0.00021113400039815254,0.00012091478874462109
2019-07-14,0.0001590240186346843,0.00012561921600615862
2019-07-15,0.00012134362549394049,0.00019653650869297398
2019-07-16,9.949294681199182e-05,0.00014299069633073159
2019-07-17,0.0001029899565596073,9.048715204909703e-05
2019-07-18,,0.00015833007674297345
2019-07-19,0.000224455949254484,0.00013696297031503448
2019-07-20,,6.742079538744172e-05
2019-07-21,,5.5889355283748317e-05
2019-07-22,,7.467061938476552e-05
2019-07-23,,7.718478141794096e-05
2019-07-24,0.00027664928347803755,0.00010775994462713606
2019-07-25,,0.00010131818650289942
2019-07-26,,0.0001276148809041947
2019-07-27,0.0003748235439795361,0.00017703025273712778
2019-07-28,1.0693144061193651e-05,7.541589912868215e-05
2019-07-29,,0.00016890947822007088
2019-07-30,0.0002904841005197328,0.00016504478223319804
2019-07-31,0.0001017603734559987,8.400488433630616e-05
2019-08-01,6.203561257773758e-05,8.663852089987181e-05
2019-08-02,6.931060392966795e-05,7.400086408545925e-05
2019-08-03,0.0001293293163233026,8.668000129478038e-05
2019-08-04,5.439807151584144e-05,6.873145354692275e-05
2019-08-05,8.13181232161301e-05,8.682108563988227e-05
2019-08-06,0.00010719082213080181,8.646216266197134e-05
2019-08-07,,0.00010516627970396373
2019-08-08,3.392179496586357e-05,8.957326349218967e-05
2019-08-09,,9.005604270644485e-05
2019-08-10,9.43958916130167e-05,8.465669524240587e-05
2019-08-11,0.00010262449547635336,9.454872271998372e-05
2019-08-12,,9.33248379663011e-05
2019-08-13,7.553931569702112e-05,0.00011156032033554521
2019-08-14,7.566995039410006e-05,0.00010178439101210395
2019-08-15,0.0002075931034763477,0.00012956601053543555
2019-08-16,0.0003438369097332165,0.0001557792618996086
2019-08-17,6.347163361201263e-05,8.426703067627415e-05
2019-08-18,1.2351929399301384e-05,5.256062634029182e-05
2019-08-19,0.0002172261027134072,0.00011049948824224997
2019-08-20,0.00020674277893314497,0.00011975254485062839
2019-08-21,0.00011778920927907491,0.00012738384386843122
2019-08-22,0.0004112330546222121,0.00016851413968004296
2019-08-23,0.00017407010989438089,0.00016363318165437684
2019-08-24,7.082843692410782e-05,6.78780347450706e-05
2019-08-25,,6.788650895720417e-05
2019-08-26,,0.00011903139152248425
2019-08-27,8.815073481496112e-05,0.0001026177381691941
2019-08-28,,7.603960117295463e-05
2019-08-29,0.00011296109005343264,0.00015976269502782192
2019-08-30,,9.179954807638647e-05
2019-08-31,0.0001645071120649142,8.20182575964351e-05
2019-09-01,4.680369335760164e-05,8.384879000633063e-05
2019-09-02,7.491244269655249e-05,0.00012532145640169857
2019-09-03,8.654131875531622e-05,9.69750405452439e-05
2019-09-04,0.00012087243687287599,9.949905714244664e-05
2019-09-05,5.475685212657016e-05,9.447342848560298e-05
2019-09-06,,8.757183158490321e-05
2019-09-07,,0.0001141402559946561
2019-09-08,0.00011545848382043176,0.0001193375012455526
2019-09-09,,9.83373792523223e-05
2019-09-10,,0.00011865556930915321
