regressor,regressor_mode,center,coef_lower,coef,coef_upper
pp,additive,0.0,-0.02216502991330643,-0.016392490942843684,-0.011059541423672263
temperatura,additive,19.69826388888889,-8.822569762064646e-05,0.0003717481668725176,0.0007580299232185389
