ds,y,precipitaciones,temperatura,es_finde,hora,dia_semana,mes,anio,Año Nuevo (New Year's Day),Día Nacional de la Memoria por la Verdad y la Justicia (Memory's National Day for the Truth and Justice),Día Nacional de la Soberanía (National Sovereignty Day),Día Pase a la Inmortalidad del General D. José de San Martin (Day Pass to the Immortality of General D. José de San Martin),Día Pase a la Inmortalidad del General D. Manuel Belgrano (Day Pass to the Immortality of General D. Manuel Belgrano),Día Pase a la Inmortalidad del General Martín Miguel de Güemes (Day Pass to the Immortality of General Martín Miguel de Güemes),Día de Carnaval (Carnival's Day),Día de Pascuas (Easter Day),Día de la Independencia (Independence Day),Día de la Revolucion de Mayo (May Revolution Day),Día del Respeto a la Diversidad Cultural (Respect for Cultural Diversity Day),Día del Trabajo (Labour Day),Día del Veterano y de los Caidos en la Guerra de Malvinas (Veterans Day and the Fallen in the Malvinas War),La Inmaculada Concepción (Immaculate Conception),Navidad (Christmas),Semana Santa (Jueves Santo)  (Holy day (Holy Thursday)),Semana Santa (Viernes Santo)  (Holy day (Holy Friday)),predicho
2019-01-01 10:00:00+00:00,4517.999999999956,0,27.2,0,10,1,1,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9211.208027303339
2019-01-01 11:00:00+00:00,6944.000000000069,0,27.8,0,11,1,1,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9743.141880543048
2019-01-01 12:00:00+00:00,10542.000000000036,0,29.0,0,12,1,1,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9825.4531408987
2019-01-01 13:00:00+00:00,11476.999999999918,0,30.6,0,13,1,1,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10292.182734813767
2019-01-01 14:00:00+00:00,9084.000000000053,0,30.7,0,14,1,1,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10293.203211985336
2019-01-01 15:00:00+00:00,8977.000000000104,0,31.2,0,15,1,1,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10330.002560783183
2019-01-01 16:00:00+00:00,10909.999999999942,0,32.7,0,16,1,1,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10435.02810567672
2019-01-01 17:00:00+00:00,12807.999999999887,0,32.1,0,17,1,1,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10498.094831650571
2019-01-01 18:00:00+00:00,14182.000000000047,1,29.5,0,18,1,1,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10293.5112181569
2019-01-01 19:00:00+00:00,14798.999999999884,1,29.6,0,19,1,1,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13759.815607081273
2019-01-01 20:00:00+00:00,14095.9999999999,0,29.2,0,20,1,1,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12542.592135654555
2019-01-01 21:00:00+00:00,13390.000000000027,0,28.7,0,21,1,1,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11310.795062026498
2019-01-01 22:00:00+00:00,11032.999999999913,0,28.7,0,22,1,1,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9154.042674260307
2019-01-01 23:00:00+00:00,8952.999999999984,0,28.6,0,23,1,1,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7989.640507530054
2019-01-02 00:00:00+00:00,5663.999999999966,0,27.9,0,0,2,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4905.240159905521
2019-01-02 01:00:00+00:00,3948.000000000008,0,27.5,0,1,2,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3562.3022324277567
2019-01-02 02:00:00+00:00,2750.9999999999773,0,27.1,0,2,2,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2585.9229253341146
2019-01-02 03:00:00+00:00,2528.0000000000146,0,26.9,0,3,2,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2377.0951318652856
2019-01-02 04:00:00+00:00,3909.000000000026,0,26.6,0,4,2,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2785.92894011192
2019-01-02 05:00:00+00:00,7276.99999999997,0,26.2,0,5,2,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5853.650451437902
2019-01-02 06:00:00+00:00,13732.999999999927,0,26.1,0,6,2,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12710.154950265938
2019-01-02 07:00:00+00:00,20275.999999999796,0,26.3,0,7,2,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20193.293789508232
2019-01-02 08:00:00+00:00,23957.999999999927,0,27.4,0,8,2,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20817.88144520114
2019-01-02 09:00:00+00:00,23046.999999999884,0,28.2,0,9,2,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20629.991199463635
2019-01-02 10:00:00+00:00,21501.999999999767,0,29.0,0,10,2,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20519.127967641234
2019-01-02 11:00:00+00:00,21691.0,0,30.3,0,11,2,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20779.5282481965
2019-01-02 12:00:00+00:00,22085.999999999985,0,32.1,0,12,2,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20810.615430111873
2019-01-02 13:00:00+00:00,22223.999999999985,1,30.8,0,13,2,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20895.5713651437
2019-01-02 14:00:00+00:00,23369.000000000244,1,25.2,0,14,2,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20688.065573354495
2019-01-02 15:00:00+00:00,23439.999999999847,0,25.0,0,15,2,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21075.231176222693
2019-01-02 16:00:00+00:00,22690.99999999987,1,25.1,0,16,2,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22255.23625871781
2019-01-02 17:00:00+00:00,23706.000000000004,0,25.0,0,17,2,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22891.006466468098
2019-01-02 18:00:00+00:00,22537.999999999825,0,24.8,0,18,2,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22864.53868738425
2019-01-02 19:00:00+00:00,18903.99999999989,0,24.6,0,19,2,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18413.15345855596
2019-01-02 20:00:00+00:00,17826.000000000113,0,24.3,0,20,2,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16104.50799027079
2019-01-02 21:00:00+00:00,14586.999999999893,0,24.4,0,21,2,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11745.389528924898
2019-01-02 22:00:00+00:00,9778.000000000076,0,24.6,0,22,2,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8480.315025395155
2019-01-02 23:00:00+00:00,7394.000000000036,0,24.6,0,23,2,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6760.693347519011
2019-01-03 00:00:00+00:00,5318.9999999999945,0,24.0,0,0,3,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5097.687256734048
2019-01-03 01:00:00+00:00,3640.000000000033,0,22.2,0,1,3,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3359.8394310592353
2019-01-03 02:00:00+00:00,2376.0000000000223,0,21.2,0,2,3,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2203.5193151497638
2019-01-03 03:00:00+00:00,2072.0000000000223,0,20.0,0,3,3,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2085.5311047742425
2019-01-03 04:00:00+00:00,3067.9999999999773,0,19.2,0,4,3,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2663.348352518052
2019-01-03 05:00:00+00:00,6847.000000000021,0,18.4,0,5,3,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5879.047167656274
2019-01-03 06:00:00+00:00,13863.00000000008,0,17.5,0,6,3,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13125.19578536975
2019-01-03 07:00:00+00:00,21403.000000000186,0,17.4,0,7,3,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21161.838172946387
2019-01-03 08:00:00+00:00,24016.99999999998,0,17.6,0,8,3,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22419.87418116583
2019-01-03 09:00:00+00:00,22342.99999999985,0,17.8,0,9,3,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21994.292014496266
2019-01-03 10:00:00+00:00,21088.99999999995,0,19.5,0,10,3,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21889.44417436134
2019-01-03 11:00:00+00:00,21270.999999999996,0,22.1,0,11,3,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21807.285605196237
2019-01-03 12:00:00+00:00,21849.99999999996,0,23.2,0,12,3,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21774.18200438671
2019-01-03 13:00:00+00:00,25178.000000000247,0,24.8,0,13,3,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22016.027741487007
2019-01-03 14:00:00+00:00,25626.000000000127,0,24.6,0,14,3,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22095.907054105126
2019-01-03 15:00:00+00:00,25570.000000000244,0,25.9,0,15,3,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22322.84405738611
2019-01-03 16:00:00+00:00,24868.00000000009,0,26.1,0,16,3,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23032.934360262516
2019-01-03 17:00:00+00:00,24658.999999999865,0,23.8,0,17,3,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23344.528204249662
