fecha,temperatura,temperatura.max,temperatura.min,pp,direccion_viento_rad,intensidad_viento_km_h
2008-01-01,28.4083333333333,31.6,24.4,0,1.36691609142298,5.23481346042457
2008-01-02,29.0666666666667,36.1,22.2,1,-0.0269007932908922,7.68472279981084
2008-01-03,27.025,35.2,21,1,2.84882058890704,4.9571918126208
2008-01-04,20.3541666666667,24.6,15.3,0,2.23758215340648,11.4722092839799
2008-01-05,22.7416666666667,26.9,19,0,1.25409017098999,7.7342775572453
2008-01-06,26.6666666666667,32.6,21.4,0,1.03393186328967,8.00760165651652
2008-01-07,29.6875,36.8,24.4,1,0.0468214894652164,6.68586801013026
2008-01-08,31.9416666666667,38,24.6,0,-0.0562723456463838,4.70072554040416
2008-01-09,30.2666666666667,34.2,26.2,1,-0.0752449403014439,4.80978517750792
2008-01-10,24.7583333333333,30.4,22,1,-3.03837044454374,3.92185733512751
2008-01-11,21.9333333333333,27.5,16.6,0,-2.98623912244807,8.94545684827298
2008-01-12,21.2708333333333,28.3,12.7,0,0.690835469833822,4.40112884860991
2008-01-13,25.0291666666667,29.7,20.9,0,0.687276809028448,12.3754870646819
2008-01-14,27.2166666666667,32.7,22.8,0,0.991735720224949,10.3130936497267
2008-01-15,29.1333333333333,35.4,25.3,1,0.752704707762522,7.39747627295518
2008-01-16,24.1583333333333,28.4,18.7,1,3.09112497515234,9.54187468296054
2008-01-17,21.8083333333333,26.6,16.2,0,0.951487681918552,5.17880129072887
2008-01-18,24.825,30.4,20.5,0,2.38695546921176,6.38447260345163
2008-01-19,20.3708333333333,24.9,14.7,0,2.16250618465288,9.41540890687504
2008-01-20,23.7916666666667,30.5,18.4,0,0.361907096374983,9.37838004254042
2008-01-21,26.1708333333333,31.5,21.6,0,0.047024849657087,5.98865011204765
2008-01-22,24.3833333333333,28,21.4,1,1.07737162211482,12.6608635653975
2008-01-23,24.2625,28.7,21.1,0,1.41635877798182,11.6169498150666
2008-01-24,25.1333333333333,29.7,22.4,0,1.15706784833302,11.8718066349644
2008-01-25,24.8458333333333,28.6,22.6,1,1.38807266375659,11.9498906827844
2008-01-26,25.0583333333333,28.6,21.9,0,1.33665357625136,16.5824819065734
2008-01-27,24.5083333333333,28.2,21,1,1.31121118900451,11.3915697697193
2008-01-28,23.2083333333333,25.6,21.4,1,1.05097913429243,9.36856901192089
2008-01-29,24.1375,29.6,20.4,1,1.08758200261963,2.31902456045232
2008-01-30,24.0875,28.9,21.1,1,1.9989359108652,11.4663863540755
2008-01-31,24.3125,28.6,21.4,1,1.37068601489712,7.34131857788884
2008-02-01,25.6041666666667,29.4,22.4,0,0.977781248503611,9.58951061324728
2008-02-02,25.8375,31.6,21.1,0,2.91750311112074,5.08162980731974
2008-02-03,21.3958333333333,27.7,14.3,0,-2.71510245897343,5.96057914388006
2008-02-04,26.1625,34,18.4,0,-1.23162181663701,5.28822196590279
2008-02-05,26.375,31.5,21.2,0,1.03596610634107,6.14817420991565
2008-02-06,28.6541666666667,33.9,23.8,0,0.352337568261216,7.98406624071273
2008-02-07,25.3666666666667,28.6,20.8,0,2.0909086245149,9.93915501584028
2008-02-08,23.2041666666667,25.5,20,1,0.925350439592854,6.79089863243708
2008-02-09,23.5541666666667,28.2,21.4,1,-1.8254028870468,4.11611664390844
2008-02-10,21.6208333333333,25.1,18.4,1,3.01985198560697,8.78930724895379
2008-02-11,19.2416666666667,23.9,13.8,0,2.22025985831055,8.82223418518089
2008-02-12,20.5625,25.2,15.8,1,1.49972280104292,3.47562197232704
2008-02-13,23.85,28.2,19.7,0,0.62628409228044,8.80842522896801
2008-02-14,26.2166666666667,31.3,21.2,0,0.268102586806049,7.29622001451029
2008-02-15,27.6375,33.2,22.4,0,0.376944981030003,5.44459046098214
2008-02-16,25.9083333333333,31.4,21.6,0,1.38062724550699,10.1056498470047
2008-02-17,26.325,31.9,21.2,0,1.01215006349113,7.98333964380327
2008-02-18,26.2041666666667,30,23.5,0,1.23262263162495,6.92923241807503
2008-02-19,26.0416666666667,30.6,23.5,0,1.20951767425566,11.1981698987353
2008-02-20,27.9666666666667,34.9,21.3,0,-2.81097910780018,1.67068841561832
2008-02-21,28.4875,34.5,23.5,0,0.127955368489485,4.77583231644637
2008-02-22,23.6458333333333,26.1,19.8,1,2.22054482266877,3.9596723186569
2008-02-23,24.5125,28.8,20.8,1,1.90940121381161,7.61128891983993
2008-02-24,24.5333333333333,27.9,22.5,1,1.43079087930158,8.49641201699628
2008-02-25,24.6291666666667,28.4,22.7,0,1.41255684577567,8.28408751253933
2008-02-26,25.4333333333333,29.7,22.8,0,1.27775395187681,7.48229900128129
2008-02-27,25.9708333333333,29,23.6,0,0.804369689890414,8.069980091194
2008-02-28,23.7791666666667,26.7,19.8,1,1.9773093102346,9.80276281133951
2008-02-29,24.1208333333333,27.1,21.9,1,0.934837584410696,4.23847135888371
2008-03-01,22.8166666666667,26.1,20.5,1,2.48727190804858,7.73402848585963
