fecha,NO2_trop_mean,NO2_trop_std
2018-07-08,5.05773574799681e-05,2.53830251395642e-05
2018-07-09,,
2018-07-10,,
2018-07-11,9.506283856119e-05,9.84921353089895e-06
2018-07-12,0.000156918830912196,1.57823010954138e-05
2018-07-13,,
2018-07-14,0.000122020037046178,5.46656004637669e-05
2018-07-15,6.72148772662453e-05,2.11050298649801e-05
2018-07-16,3.13644756967682e-05,3.77209536232154e-06
2018-07-17,,
2018-07-18,,
2018-07-19,,
2018-07-20,,
2018-07-21,0.000102361750530981,3.33413041402251e-05
2018-07-22,,
2018-07-23,0.000149420635473606,6.59038660568644e-05
2018-07-24,0.00015468498536525,7.9994062556536e-05
2018-07-25,,
2018-07-26,,
2018-07-27,,
2018-07-28,,
2018-07-29,,
2018-07-30,0.000136574496914824,5.00268427259098e-05
2018-07-31,0.00023716746828065,8.64049582562173e-05
2018-08-01,0.000103128266988645,5.21423757476517e-05
2018-08-02,0.000121920924358026,6.96621943773751e-05
2018-08-03,,
2018-08-04,,
2018-08-05,,
2018-08-06,0.000102477662952971,5.16260820015068e-05
2018-08-07,,
2018-08-08,,
2018-08-09,0.000120233304942971,2.15637115269385e-05
2018-08-10,0.000227536580414583,5.48111465513152e-05
2018-08-11,,
2018-08-12,4.73271813845181e-05,2.64374229598261e-05
2018-08-13,,
2018-08-14,8.26127326052756e-05,2.80018468800186e-05
2018-08-15,0.000314249740702113,0.000154533676040973
2018-08-16,8.80152285349902e-05,4.37087650409974e-05
2018-08-17,9.18920329494245e-05,6.15669834295364e-05
2018-08-18,,
2018-08-19,1.60781234958687e-05,9.54902127787591e-06
2018-08-20,4.0662915553311e-05,1.62065951596845e-05
2018-08-21,0.000453470751174392,0.00018064091005555
2018-08-22,4.77022193553038e-05,2.69020977458011e-05
2018-08-23,,
2018-08-24,,
2018-08-25,6.69168981727681e-05,2.1398533590342e-05
2018-08-26,7.34194241532427e-05,2.58615392726121e-05
2018-08-27,0.00011925330203739,6.12864116734133e-05
2018-08-28,0.000156782859492975,7.73106554513086e-05
2018-08-29,0.000100766473605521,4.29920547630363e-05
2018-08-30,,
2018-08-31,7.73798587484065e-05,3.33675120576158e-05
2018-09-01,0.000117833074797372,3.7866976762353e-05
2018-09-02,5.61544842214192e-05,2.43532795751702e-05
2018-09-03,0.000193404058467894,7.79762056856841e-05
2018-09-04,0.000104807258264356,5.14362226888428e-05
2018-09-05,7.13788795252214e-05,3.42377490294694e-05
2018-09-06,0.000178945922548977,8.58973651916419e-05
2018-09-07,0.00010466012279413,4.87283779339018e-05
2018-09-08,3.36760354050052e-05,8.70847993734738e-06
2018-09-09,4.18698755639251e-05,1.19989436878076e-05
2018-09-10,4.41703081224518e-05,1.62841983094768e-05
2018-09-11,7.48755555801175e-05,4.48477407897571e-05
2018-09-12,,
2018-09-13,0.000136090123641167,5.92452815668374e-05
2018-09-14,9.16223220777506e-05,2.34789230669959e-05
2018-09-15,,
2018-09-16,3.40670841061455e-05,9.58055879495716e-06
2018-09-17,0.000386220686596684,0.000191846432494935
2018-09-18,4.25576861850911e-05,1.62417489703701e-05
2018-09-19,4.36378646178901e-05,1.40210905254732e-05
2018-09-20,2.9621526045937e-05,1.38660237906295e-05
2018-09-21,0.00014152412960758,6.04716386481869e-05
2018-09-22,5.60163995230468e-05,2.24450405248768e-05
2018-09-23,,
2018-09-24,4.10787442041063e-05,1.29620946548023e-05
2018-09-25,4.22629132805559e-05,1.68147536145484e-05
2018-09-26,8.3974028674881e-05,5.57139168774676e-05
2018-09-27,,
2018-09-28,,
2018-09-29,8.7956425601794e-05,3.01374078061588e-05
2018-09-30,,
2018-10-01,7.49728300800066e-05,2.35273909189196e-05
2018-10-02,0.000297604285692472,0.000129658085801605
2018-10-03,0.000116327782328008,3.85228610019156e-05
2018-10-04,0.000201120280388587,6.72767494465881e-05
2018-10-05,0.000290571071659673,9.10957510609775e-05
2018-10-06,6.14868563056302e-05,2.41015306270086e-05
2018-10-07,7.50851897365783e-05,3.19697662331002e-05
2018-10-08,7.40341935088864e-05,2.77097959960131e-05
2018-10-09,8.36159952790222e-05,3.23360791960413e-05
2018-10-10,9.04325407117629e-05,3.04333997377734e-05
2018-10-11,,
2018-10-12,,
2018-10-13,8.75959657599291e-05,3.4221427194895e-05
2018-10-14,5.70151018133227e-05,1.2105346769831e-05
2018-10-15,,
2018-10-16,0.000116549586381647,6.16573678219355e-05
2018-10-17,0.000110603274253317,4.16435695720788e-05
2018-10-18,,
2018-10-19,7.09269365028343e-05,2.56808214542033e-05
2018-10-20,,
2018-10-21,,
2018-10-22,7.92778519098647e-06,0
2018-10-23,5.20728761253837e-05,1.97103072196854e-05
2018-10-24,,
2018-10-25,,
2018-10-26,9.29353450202454e-05,3.99445262265204e-06
2018-10-27,9.08683805009463e-05,3.74173979276322e-05
2018-10-28,7.09744445021748e-05,3.09256721127165e-05
2018-10-29,,
2018-10-30,,
2018-10-31,,
2018-11-01,0.000192239556640574,6.03872194658467e-05
2018-11-02,,
2018-11-03,0.000112589399860566,7.08676619647905e-05
2018-11-04,5.51551192528744e-05,2.67383122999064e-05
2018-11-05,0.000131724517978554,6.55800843220174e-05
2018-11-06,5.22799962338917e-05,2.08092107868867e-05
2018-11-07,9.27262127018001e-05,4.37108065276767e-05
2018-11-08,4.6200890910599e-05,2.66123415910704e-05
2018-11-09,8.63586233127559e-05,4.68538970880069e-05
2018-11-10,,
2018-11-11,,
2018-11-12,,
2018-11-13,0.000145567290019244,0
2018-11-14,4.17153751175473e-05,1.3163095890308e-05
2018-11-15,8.01060862199018e-05,2.60890172343392e-05
2018-11-16,5.85285903822221e-05,1.86524730148592e-05
2018-11-17,,
2018-11-18,2.68528092727446e-05,1.18412225234693e-05
2018-11-19,5.38287918160478e-05,2.60409116173321e-05
2018-11-20,0.000101851381642312,4.72570835648955e-05
2018-11-21,7.14558256978499e-05,3.13889393286057e-05
2018-11-22,,
2018-11-23,,
2018-11-24,4.88945152905624e-05,1.48417437857456e-05
2018-11-25,8.18090507518806e-05,6.11184532196144e-05
2018-11-26,,
2018-11-27,,
2018-11-28,6.19706259036142e-05,2.19567289785187e-05
2018-11-29,,
2018-11-30,0.000166549906553341,7.15772328033674e-05
2018-12-01,,
2018-12-02,4.27650995015504e-05,1.50923530757818e-05
2018-12-03,6.01685898042603e-05,1.95222954555574e-05
2018-12-04,0.000136503139889057,6.71739606887304e-05
2018-12-05,0.000109705776144121,6.75715122591972e-05
2018-12-06,8.31381622929922e-05,3.40673253579415e-05
2018-12-07,0.000256621071230727,6.65352350681719e-05
