lon,lat,value
-58.74,-34.81,0
-58.74,-34.8,0
-58.74,-34.79,0
-58.74,-34.78,0
-58.74,-34.77,0
-58.74,-34.76,0
-58.74,-34.75,0
-58.74,-34.74,0
-58.74,-34.73,0
-58.74,-34.72,0
-58.74,-34.71,0
-58.74,-34.7,0
-58.74,-34.69,0
-58.74,-34.68,0
-58.74,-34.67,0
-58.74,-34.66,0
-58.74,-34.65,0
-58.74,-34.64,0
-58.74,-34.63,0
-58.74,-34.62,0
-58.74,-34.61,0
-58.74,-34.6,0
-58.74,-34.59,0
-58.74,-34.58,0
-58.74,-34.57,0
-58.74,-34.56,0
-58.74,-34.55,0
-58.74,-34.54,0
-58.74,-34.53,0
-58.74,-34.52,0
-58.74,-34.51,0
-58.74,-34.5,0
-58.74,-34.49,0
-58.74,-34.48,0
-58.74,-34.47,0
-58.74,-34.46,0
-58.74,-34.45,0
-58.74,-34.44,0
-58.74,-34.43,0
-58.74,-34.42,0
-58.74,-34.41,0
-58.74,-34.4,0
-58.74,-34.39,0
-58.74,-34.38,0
-58.74,-34.37,0
-58.74,-34.36,0
-58.74,-34.35,0
-58.74,-34.34,0
-58.74,-34.33,0
-58.74,-34.32,0
-58.73,-34.93,0
-58.73,-34.92,0
-58.73,-34.91,0
-58.73,-34.9,0
-58.73,-34.89,0
-58.73,-34.88,0
-58.73,-34.87,0
-58.73,-34.86,0
-58.73,-34.85,0
-58.73,-34.84,0
-58.73,-34.83,0
-58.73,-34.82,0
-58.73,-34.81,0
-58.73,-34.8,0
-58.73,-34.79,0
-58.73,-34.78,0
-58.73,-34.77,0
-58.73,-34.76,0
-58.73,-34.75,0
-58.73,-34.74,0
-58.73,-34.73,0
-58.73,-34.72,0
-58.73,-34.71,0
-58.73,-34.7,0
-58.73,-34.69,0
-58.73,-34.68,0
-58.73,-34.67,0
-58.73,-34.66,0
-58.73,-34.65,0
-58.73,-34.64,0
-58.73,-34.63,0
-58.73,-34.62,0
-58.73,-34.61,0
-58.73,-34.6,0
-58.73,-34.59,0
-58.73,-34.58,0
-58.73,-34.57,0
-58.73,-34.56,0
-58.73,-34.55,0
-58.73,-34.54,0
-58.73,-34.53,0
-58.73,-34.52,0
-58.73,-34.51,0
-58.73,-34.5,0
-58.73,-34.49,0
-58.73,-34.48,0
-58.73,-34.47,0
-58.73,-34.46,0
-58.73,-34.45,0
-58.73,-34.44,0
-58.73,-34.43,0
-58.73,-34.42,0
-58.73,-34.41,0
-58.73,-34.4,0
-58.73,-34.39,0
-58.73,-34.38,0
-58.73,-34.37,0
-58.73,-34.36,0
-58.73,-34.35,0
-58.73,-34.34,0
-58.73,-34.33,0
-58.73,-34.32,0
-58.72,-34.93,0
-58.72,-34.92,0
-58.72,-34.91,0
-58.72,-34.9,0
-58.72,-34.89,0
-58.72,-34.88,0
-58.72,-34.87,0
-58.72,-34.86,0
-58.72,-34.85,0
-58.72,-34.84,0
-58.72,-34.83,0
-58.72,-34.82,0
-58.72,-34.81,0
-58.72,-34.8,0
-58.72,-34.79,0
-58.72,-34.78,0
-58.72,-34.77,0
-58.72,-34.76,0
-58.72,-34.75,0
-58.72,-34.74,0
-58.72,-34.73,0
-58.72,-34.72,0
-58.72,-34.71,0
-58.72,-34.7,0
-58.72,-34.69,0
-58.72,-34.68,0
-58.72,-34.67,0
-58.72,-34.66,0
-58.72,-34.65,0
-58.72,-34.64,0
-58.72,-34.63,0
-58.72,-34.62,0
-58.72,-34.61,0
-58.72,-34.6,0
-58.72,-34.59,0
-58.72,-34.58,0
-58.72,-34.57,0
