modelo,variable,value
KNN,RMSE,3.27989512649567e-05
Prophet,RMSE,3.99812557878838e-05
Ridge,RMSE,3.67638042596009e-05
SVM,RMSE,3.94762201942433e-05
XGB,RMSE,4.24807195692799e-05
KNN,MAPE,0.255528784124501
Prophet,MAPE,0.349825955216966
Ridge,MAPE,0.299442818439001
SVM,MAPE,0.329466888241325
XGB,MAPE,0.355925680710291
KNN,R2,0.230474237989469
Prophet,R2,0.128356131050852
Ridge,R2,0.163112221146296
SVM,R2,0.144745394880186
XGB,R2,0.09271786398604
