periodo,NO2R_NO2SR,observados_NO2R,observados_NO2SR
Previo a restricciones,1,1.09010998812976,1.09010998812976
Durante las restricciones,0.894544905982091,1.02390289242288,0.907420927020475
Periodo Represa et al.,0.773737840567081,0.794498849421131,0.599407400399972
