mes_anio,NO2R_NO2SR,observados_NO2R,observados_NO2SR
ene. 2019,1,0.801435338052901,0.801435338052901
feb. 2019,1,1.19579850351352,1.19579850351352
mar. 2019,1,0.981080639364191,0.981080639364191
abr. 2019,1,1.43004275270668,1.43004275270668
may. 2019,1,1.06405555053374,1.06405555053374
jun. 2019,1,1.20727805031317,1.20727805031317
jul. 2019,1,1.28292360538641,1.28292360538641
ago. 2019,1,1.14908048202202,1.14908048202202
sep. 2019,1,1.27429628930279,1.27429628930279
oct. 2019,1,0.916321108237385,0.916321108237385
nov. 2019,1,0.944709932392125,0.944709932392125
dic. 2019,1,1.08462830234667,1.08462830234667
ene. 2020,1,0.92776104787592,0.92776104787592
feb. 2020,1,0.997189240094746,0.997189240094746
mar. 2020,0.86068301622725,1.11478039686498,0.973170311895447
abr. 2020,0.830591952480577,0.745661712685543,0.6134272797749
may. 2020,0.858466609578036,0.982201795637007,0.83994060684465
jun. 2020,0.876883746159985,1.25088587721192,1.07205911656918
jul. 2020,0.875572151946133,1.26882085963607,1.08100494620302
ago. 2020,0.925878948507431,0.85753057396701,0.782032610573497
sep. 2020,0.952024319660308,1.06486136184291,1.00660769147633
oct. 2020,0.961533861692456,1.06725336658128,1.03122705715347
nov. 2020,0.979626863163221,0.974389310650643,0.953766355324474
