Feature,Importance
cantidad_pasos,0.09476415812969208
log_temperatura,0.10507215559482574
log_intensidad_viento_km_h,0.15732787549495697
pp,0.09238768368959427
dia_de_semana,0.08936282992362976
dia_del_año,0.06690503656864166
dia_del_mes,0.058181218802928925
mes,0.03589589521288872
holiday_dummy_dia_de_la_independencia_independence_day,0.024970047175884247
holiday_dummy_dia_nacional_de_la_memoria_por_la_verdad_y_la_justicia_memorys_national_day_for_the_truth_and_justice,0.04248816892504692
holiday_dummy_dia_normal,0.15396089851856232
holiday_dummy_semana_santa_jueves_santo_holy_day_holy_thursday,0.03292231261730194
